# N1 = 66889
# N2 = 104723
# N  = 7004816747
# Nc = 80000
# Na = 1000
# Fc = 0.997
# kB = 6443.89
#
# run	success	duration[mus]	usedNa
0	0	19833189	0
1	0	18928645	0
2	0	19824123	0
3	1	547985	2496
4	1	1643664	7605
5	1	1638423	7569
6	0	19378952	0
7	0	20078700	0
8	1	1314513	6042
9	0	15319206	0
10	1	1383660	6393
11	0	18912237	0
12	1	1128088	5893
13	0	19728707	0
14	1	1141210	5255
15	1	1267970	5843
16	0	20356965	0
17	0	19658702	0
18	1	1675261	7711
19	1	1417487	6538
20	0	19598511	0
21	0	15983117	0
22	0	18530371	0
23	1	1938480	8919
24	0	20263980	0
25	1	1276037	5843
26	1	2035289	9353
27	0	18990693	0
28	1	1408114	6485
29	0	19500117	0
30	1	1852526	8558
31	1	1713345	7917
32	1	1523843	7029
33	1	1263206	5837
34	1	1398594	6473
35	1	1573267	7282
36	0	19497396	0
37	1	1549125	7147
38	1	1252506	5773
39	0	19791714	0
40	1	1078420	4950
41	0	18981810	0
42	0	15976827	0
43	1	1486993	7800
44	0	18883488	0
45	0	19442158	0
46	0	19649924	0
47	0	20864408	0
48	0	15646515	0
49	1	1423617	6564
50	0	20377759	0
51	1	2701722	12466
52	1	1139575	5182
53	1	1112063	5148
54	0	21201239	0
55	0	18863308	0
56	0	19516624	0
57	1	2302381	10602
58	1	2433314	11224
59	1	1205036	5575
60	0	19403984	0
61	1	257338	1148
62	1	1729137	7984
63	0	19631204	0
64	0	19311239	0
65	0	15663411	0
66	1	1383818	7253
67	0	18849896	0
68	1	1152222	5295
69	0	22260080	0
70	0	20523159	0
71	0	22012414	0
72	0	20310247	0
73	0	21278848	0
74	1	1270110	5844
75	1	1213414	5612
76	1	1630809	7553
77	0	18993171	0
78	0	20125524	0
79	0	19051856	0
80	0	19051132	0
81	1	2300001	10673
82	0	18793627	0
83	1	1208629	6318
84	0	21425275	0
85	0	15732163	0
86	0	15564288	0
87	0	19031657	0
88	0	22517130	0
89	0	20432805	0
90	1	1282055	6727
91	1	1559124	7203
92	0	18756608	0
93	0	19591805	0
94	0	19637602	0
95	1	1556391	7143
96	0	22670294	0
97	1	2354581	10857
98	0	21331745	0
99	0	22088094	0
100	1	1389240	7273
101	0	22852991	0
102	1	1556379	8182
103	1	633599	2926
104	0	15666910	0
105	0	19063910	0
106	0	19140244	0
107	0	19003935	0
108	1	1216852	5574
109	1	1239474	5709
110	0	19481835	0
111	1	543866	2824
112	1	3618376	16562
113	1	1329079	6122
114	1	1106878	5079
115	0	22078090	0
116	0	15590560	0
117	0	22310080	0
118	0	22342196	0
119	0	22840480	0
120	0	15620136	0
121	1	1208823	5543
122	0	19449423	0
123	0	20385617	0
124	0	20688517	0
125	1	1216178	5581
126	1	846321	4421
127	1	1003936	4575
128	1	1668199	7694
129	0	19256455	0
130	1	1022927	4675
131	0	22025664	0
132	1	1127125	5151
133	1	1545332	7113
134	0	21107929	0
135	0	22397524	0
136	0	22879911	0
137	0	22887527	0
138	1	710102	3256
139	1	1926848	8852
140	0	19990121	0
141	1	1063578	4897
142	1	1773687	8200
143	0	19266417	0
144	1	2516962	11648
145	0	19300384	0
146	0	15385344	0
147	0	23036653	0
148	0	19620931	0
149	0	19621638	0
150	0	15687895	0
151	1	1420266	6547
152	1	2031701	9370
153	1	1968205	9092
154	1	55385	222
155	0	18805816	0
156	1	2147600	9903
157	1	1408990	6524
158	0	19789797	0
159	0	18676385	0
160	1	524500	2349
161	0	22339835	0
162	1	858440	3915
163	1	1120400	5157
164	1	1524374	7030
165	0	19886233	0
166	1	1367758	6280
167	1	3481512	15964
168	1	425676	1956
169	1	1240274	5721
170	0	21811326	0
171	0	21135218	0
172	0	15568421	0
173	0	22126515	0
174	1	1477846	7719
175	1	1208313	5530
176	1	1212405	6382
177	0	19584735	0
178	0	15400890	0
179	1	1595735	7333
180	0	18690851	0
181	0	19256379	0
182	0	18641406	0
183	0	21812001	0
184	0	15626405	0
185	0	20074937	0
186	0	20109017	0
187	1	1709824	7848
188	0	19496048	0
189	0	21693321	0
190	1	1532000	8056
191	0	19738983	0
192	1	1633035	7472
193	0	20032680	0
194	1	1396440	6403
195	1	1477633	6796
196	1	2013194	9292
197	0	19570963	0
198	0	19323193	0
199	0	19323548	0
200	0	20529479	0
201	1	1098241	5015
202	0	19382730	0
203	1	1666231	7657
204	1	1297674	6000
205	0	18765995	0
206	1	1434201	6599
207	0	19104396	0
208	0	19428749	0
209	0	19231687	0
210	0	18745262	0
211	1	1138903	5232
212	0	20011295	0
213	0	19383846	0
214	1	2362029	10910
215	1	2037308	9427
216	0	19102429	0
217	1	1314906	6054
218	0	15851979	0
219	0	19720241	0
220	1	670242	3038
221	0	18927239	0
222	0	20772809	0
223	1	2269811	10461
224	1	1497819	6922
225	1	1903123	8803
226	1	1606901	7445
227	0	18575140	0
228	0	19363373	0
229	0	19682569	0
230	1	1488602	6868
231	0	15947346	0
232	1	1280856	5880
233	0	18499223	0
234	1	1532278	8030
235	1	1221902	5643
236	0	22170051	0
237	0	22535317	0
238	0	15682883	0
239	0	15705800	0
240	1	1590255	7348
241	0	21316293	0
242	1	1068973	4934
243	0	19994181	0
244	0	20657848	0
245	0	18965199	0
246	1	1038976	4777
247	1	282508	1277
248	0	18748320	0
249	1	573373	2627
250	0	15819730	0
251	1	1402050	6469
252	0	19602156	0
253	1	1239423	5695
254	0	19347577	0
255	1	1279888	5904
256	1	861751	3982
257	0	19480145	0
258	1	1141863	5253
259	0	19786317	0
260	1	1339489	6172
261	1	1390152	6417
262	0	19716723	0
263	0	21416723	0
264	1	1533427	7060
265	1	439031	2026
266	0	22229184	0
267	0	21437645	0
268	0	20780299	0
269	0	20578998	0
270	0	22721280	0
271	1	881249	4044
272	0	15636503	0
273	0	21601628	0
274	1	1097968	5749
275	0	20244305	0
276	0	18982374	0
277	0	20064182	0
278	1	1325094	6085
279	1	1126009	5217
280	1	1109135	5123
281	0	19021970	0
282	0	18643218	0
283	0	20818989	0
284	1	1502204	6930
285	0	19842859	0
286	1	1357894	6267
287	0	20145961	0
288	0	19066987	0
289	0	19337498	0
290	0	19604537	0
291	0	19992318	0
