# N1 = 66889
# N2 = 104723
# N  = 7004816747
# Nc = 80000
# Na = 1000
# Fc = 0.997
# kB = 1
#
# run	success	duration[mus]	usedNa
304	0	20098212	0
305	1	8042894	5239
306	0	18907647	0
307	0	21377923	0
308	1	14071050	9159
309	0	22482501	0
310	1	13821652	6789
311	1	9138983	5975
312	0	19927453	0
313	0	15417254	0
314	0	19875590	0
315	0	19917958	0
316	1	14963546	9750
317	0	22195950	0
318	0	19792437	0
319	0	18970277	0
320	1	6100532	3701
321	0	19158966	0
322	0	20682119	0
323	0	19490234	0
324	0	19309610	0
325	0	20542033	0
326	0	19619457	0
327	0	15407299	0
328	0	21261015	0
329	0	19594242	0
330	1	3132031	2036
331	0	19960127	0
332	0	20452310	0
333	0	22573416	0
334	0	20056432	0
335	0	20047264	0
336	0	19449125	0
337	1	8161265	5314
338	0	19842769	0
339	0	19551269	0
340	0	21846995	0
341	1	680302	439
342	1	3005341	1968
343	0	15508641	0
344	0	19578498	0
345	1	11010042	5691
346	0	19312671	0
347	0	19646715	0
348	0	19208629	0
349	1	17530307	9995
350	1	2053018	1347
351	0	22837679	0
352	0	15414493	0
353	0	22666810	0
354	0	22048132	0
355	0	20725667	0
356	0	19333045	0
357	0	19859829	0
358	0	22720987	0
359	0	20464680	0
360	1	4437090	2877
361	1	406036	252
362	1	10351860	5674
363	0	20276813	0
364	0	20934398	0
365	0	19700169	0
366	1	10765864	7075
367	0	20904186	0
368	0	21777420	0
369	1	9059369	5973
370	1	443287	142
371	1	564586	370
372	1	558338	366
373	1	5128071	3346
374	0	20194101	0
375	0	15475916	0
376	1	9850922	6294
377	0	19000812	0
378	1	3613847	2350
379	1	1879601	1240
380	0	19134931	0
381	0	15447130	0
382	0	19011998	0
383	1	17876863	9201
384	0	19922943	0
385	1	9918391	6472
386	1	16906823	8272
387	0	15435151	0
388	1	5368093	3495
389	0	20511031	0
390	0	18621440	0
391	1	1635027	1058
392	1	4544309	2144
393	1	5176533	3372
394	1	3755009	1539
395	0	19960754	0
396	1	3969483	2576
397	0	19627664	0
398	0	19070848	0
399	1	2743690	1339
400	0	19421593	0
401	0	21832274	0
402	0	19921091	0
403	0	19613328	0
404	1	771083	503
405	0	19407063	0
406	1	9105316	5940
407	0	19534106	0
408	1	3907549	1942
409	0	20243794	0
410	1	10435735	5605
411	0	18894962	0
412	0	21001908	0
413	0	19186301	0
414	0	15414206	0
415	1	9725372	4047
416	1	8127391	4255
417	1	403549	158
418	0	18729402	0
419	1	8425244	5512
420	1	9088177	5060
421	0	19521749	0
422	0	20702316	0
423	1	3243930	2109
424	0	18803762	0
425	0	22119795	0
426	0	15445848	0
427	1	7734247	3952
428	1	15439881	8064
429	1	2261413	1050
430	0	20092143	0
431	0	19108563	0
432	0	19146603	0
433	0	20149872	0
434	0	19707102	0
435	0	18787172	0
436	1	4314095	1866
437	1	16507908	7978
438	0	20613713	0
439	1	2180171	1416
440	1	11930149	7787
441	1	15867581	8471
442	0	15404302	0
443	0	18864734	0
444	0	18677049	0
445	1	13384710	6068
446	0	20207029	0
447	0	20050172	0
448	1	3027939	1964
449	0	19678193	0
450	1	14579667	9515
451	1	10054698	6545
452	1	14036028	9149
453	1	769191	498
454	0	22716693	0
455	0	22128997	0
456	0	19929785	0
457	0	20278401	0
458	0	20959825	0
459	0	22692996	0
460	1	11309657	7366
461	1	17121605	7501
462	0	19591587	0
463	0	20152351	0
464	0	17912568	0
465	1	17658762	8924
466	0	19809322	0
467	0	19566080	0
468	1	2790344	1151
469	0	18588365	0
470	0	22742394	0
471	1	13210364	6551
472	1	8655772	4831
473	1	3782583	2471
474	0	18615470	0
475	0	20814001	0
476	0	20700507	0
477	0	20608568	0
478	0	21072539	0
479	1	10803772	4468
480	0	19607334	0
481	1	7603072	4949
482	0	19853007	0
483	0	21873222	0
484	1	7765168	5049
485	0	20257155	0
486	1	11290814	7359
487	0	20718312	0
488	0	22714274	0
489	0	15441567	0
490	0	21507735	0
491	0	22294699	0
492	0	15488930	0
493	0	20479267	0
494	1	6363999	4152
495	0	19815222	0
496	0	20481415	0
497	0	19706231	0
498	0	19877073	0
499	1	4716994	3081
500	1	14713677	9565
501	0	19909196	0
502	0	22673608	0
503	0	20857737	0
504	0	22507199	0
505	0	20700656	0
506	0	19468087	0
507	0	19891212	0
508	0	22526653	0
509	1	8926702	5814
510	0	19649123	0
511	0	19275142	0
512	1	10531919	6832
513	1	9619344	4806
514	0	19343626	0
515	1	7524226	4765
516	1	3390704	2221
517	1	11520503	7571
518	0	19755958	0
519	1	16716366	8109
520	0	18871663	0
521	0	21395490	0
522	0	19120434	0
523	1	6641634	2181
524	0	21708613	0
525	0	15484278	0
526	1	1467062	964
527	0	15406136	0
528	1	6149444	2908
529	0	19774432	0
530	0	19461377	0
531	0	21343782	0
532	1	2161039	1423
533	0	20726524	0
534	0	19105174	0
535	0	18940640	0
536	0	21325383	0
537	0	15454135	0
538	0	20008920	0
