# N  = 783061
# Nc = 200
# Na = 500
# Fc = 0.997
# kB = 117.283
#
# run	success	duration[mus]	usedSteps
0	1	8630023	84993506
1	0	21358167	0
2	1	8557885	84359980
3	1	8520084	84659810
4	0	22312863	0
5	1	8568158	85748460
6	0	21497613	0
7	0	18750978	0
8	1	9908412	81908757
9	0	21501947	0
10	1	8552569	84650054
11	1	8616453	73378468
12	1	9392761	80059091
13	0	20913220	0
14	0	19012445	0
15	1	8579510	73171958
16	1	8531395	81493240
17	1	9680506	83118058
18	1	8597748	73722424
19	0	20722866	0
20	1	8624352	84726774
21	1	10345779	70853298
22	1	8607990	85017651
23	1	8591260	84399464
24	0	21833565	0
25	0	18771463	0
26	0	18966314	0
27	1	8523737	83598111
28	1	8604512	84814937
29	1	8640517	73832122
30	0	22773552	0
31	0	19013919	0
32	1	8546391	73332506
33	1	8614561	73826953
34	1	8633586	85179462
35	1	10301198	70612575
36	1	8625265	81820259
37	1	10050295	68935796
38	1	8639307	84774820
39	1	8562137	84667494
40	1	8595054	88315058
41	1	8579540	73152552
42	0	21297107	0
43	1	10785912	72253747
44	1	8566799	70141767
45	1	9473167	80797617
46	0	22884129	0
47	0	20437364	0
48	0	21103481	0
49	1	8545330	73134640
50	0	21450632	0
51	1	12095216	63522892
52	1	8518962	73022607
53	0	20042156	0
54	0	18839222	0
55	0	20658088	0
56	1	8608056	78965757
57	0	19690427	0
58	0	18795558	0
59	0	22403208	0
60	1	13395810	51837315
61	1	11174637	76748703
62	0	21182307	0
63	1	8558822	86139257
64	1	8731410	88340289
65	0	23622689	0
66	0	20619696	0
67	1	8576250	84382148
68	1	8596300	73478218
69	0	18827032	0
70	1	8614655	81956773
71	0	20010777	0
72	0	18717186	0
73	1	8553997	73422928
74	0	19328066	0
75	0	18972642	0
76	0	21097871	0
77	1	8601381	73786135
78	0	20555243	0
79	1	8578171	81582775
80	1	8623749	73678681
81	1	8603080	73530815
82	1	9221840	90463617
83	1	8561389	84374244
84	1	8563812	73232656
85	1	8596477	73651335
86	0	20168191	0
87	1	8603216	81850061
88	1	8569117	70239820
89	0	20302199	0
90	0	20199033	0
91	0	21546090	0
92	0	20723071	0
93	1	8555909	81355875
94	0	18853700	0
95	1	8558768	81602080
96	0	20793796	0
97	0	20462505	0
98	0	20182131	0
99	0	20265107	0
100	0	19198140	0
101	0	20412206	0
102	1	8563413	73506118
103	0	23650215	0
104	1	8605058	84814984
105	1	8583566	73416933
106	0	20473026	0
107	0	21027730	0
108	0	18795491	0
109	0	18726014	0
110	0	18811298	0
111	0	19649388	0
112	1	8606065	85170097
113	1	8611446	85548672
114	0	20929483	0
115	0	20153959	0
116	0	19826195	0
117	1	9641444	82505874
118	0	22777475	0
119	1	8519931	81160498
120	1	8605409	73562827
121	0	20981773	0
122	1	8673265	73918581
123	1	8574469	84306228
124	1	8737845	82867707
125	1	8588114	73380090
126	1	8627415	73553177
127	1	8567320	84707730
128	0	19064427	0
129	0	20426256	0
130	1	8590678	84334864
131	1	8558251	72962232
132	1	8601592	73274983
133	0	20480631	0
134	0	18925689	0
135	1	9768578	67074436
136	1	8520787	72856843
137	1	11230265	77123978
138	1	8635613	81918126
139	1	8577477	70088690
140	1	8553765	84532204
141	1	9828007	67277150
142	0	20043859	0
143	1	8530455	72949737
144	0	22516894	0
145	0	18848904	0
146	1	8558766	81336054
147	1	10271529	70436470
148	1	8719576	85455928
149	1	8674687	74137892
150	1	11108777	76369802
151	1	9863858	67729207
152	1	10076632	68989671
153	1	10299845	70609879
154	0	21102347	0
155	1	8588378	84878201
156	1	8538072	72800717
157	0	18834444	0
158	1	8728002	74371424
159	0	18770548	0
160	0	20770020	0
161	0	19651301	0
162	1	11296946	77683930
163	0	20813392	0
164	1	8625528	73687899
165	1	8562238	73330767
166	1	9209544	91727190
167	0	21027033	0
168	1	8644650	74051494
169	1	8574509	73213348
170	1	9589209	81991088
171	1	8572645	73412534
172	0	21910521	0
173	1	9365434	80233205
174	0	20551096	0
175	0	19570424	0
176	1	8557640	73507360
177	1	8535339	81494486
178	0	21927964	0
179	1	8597501	73718432
180	0	18863519	0
181	0	18906988	0
182	1	10020903	66249265
183	0	20795518	0
184	0	20919763	0
185	1	8647624	85332099
186	1	8603270	81676716
187	1	8608395	73773478
188	0	20743786	0
189	1	8569229	73557063
190	0	18878928	0
191	0	18823978	0
192	0	20665376	0
193	1	8662981	84992610
194	1	8575411	84513589
195	1	8594268	73335442
196	1	8583925	73560152
197	1	8587865	73244930
198	0	21081063	0
199	1	8580587	84894503
