# N  = 783061
# Nc = 200
# Na = 500
# Fc = 0.997
# kB = 117.283
#
# run	success	duration[mus]	usedSteps
0	1	24380411	0
1	1	8572098	67159476
2	0	24262714	0
3	0	24212815	0
4	1	8650020	67477756
5	1	8575081	67019241
6	1	8585561	66958160
7	1	8654133	67491353
8	1	8575936	66967428
9	0	24410418	0
10	1	8521995	66866048
11	1	8587507	67259306
12	0	24326578	0
13	0	24439450	0
14	1	8564251	66883352
15	1	8583449	66961956
16	0	24383033	0
17	0	24352448	0
18	0	24177823	0
19	1	8590098	67180478
20	0	24284139	0
21	1	8541997	66899011
22	1	8561867	66916241
23	0	24239360	0
24	1	8579001	67050650
25	1	8559486	66932675
26	1	8530941	66609394
27	1	8563157	66982536
28	1	8527541	66774227
29	1	8577110	66926675
30	1	8583794	66966606
31	0	24443414	0
32	1	8649664	67532177
33	1	8629637	67322064
34	1	8632724	67405595
35	0	24287111	0
36	1	8521010	66785451
37	1	8549983	66949035
38	0	24266719	0
39	1	8585829	67065970
40	1	8543741	66784678
41	1	8553959	66818540
42	1	8565663	66777418
43	1	8544788	66666680
44	1	8577870	67071608
45	1	8562192	66812921
46	1	8627387	67307083
47	1	8633350	67384325
48	1	8542281	66811833
49	1	8559599	66896161
50	1	8595478	67197211
51	1	8534537	66878890
52	0	24280020	0
53	1	8592252	67229844
54	1	8528528	66755777
55	0	24386628	0
56	0	24352656	0
57	1	8572880	67009003
58	1	8595425	67151509
59	0	24369358	0
60	1	8565119	67035474
61	0	24170994	0
62	1	8600579	67309896
63	0	24361843	0
64	1	8587897	67177485
65	1	8567826	66872322
66	1	8661150	67523761
67	0	24416720	0
68	1	8555195	66979737
69	0	24460095	0
70	1	8682956	67634447
71	1	8559287	66815019
72	1	8555120	66756183
73	1	8627217	67435919
74	0	24195693	0
75	0	24200853	0
76	1	8574823	67008921
77	0	24328933	0
78	1	8548767	66936388
79	1	8515244	66610755
80	0	24444411	0
81	0	24164457	0
82	1	8573237	66980627
83	0	24237643	0
84	0	24371096	0
85	1	8652377	67470165
86	1	8581261	67097302
87	0	24439480	0
88	1	8552621	66947324
89	1	8649181	67551444
90	1	8574761	67017906
91	1	8550826	66880751
92	1	8621882	67322173
93	1	8681380	67643045
94	1	8631686	67337820
95	1	8536017	66694419
96	1	8591429	67021913
97	1	8637588	67375315
98	1	8561790	66753907
99	0	24453654	0
100	0	24357054	0
101	0	24244623	0
102	1	8586853	67178767
103	0	24450836	0
104	0	24193127	0
105	1	8570807	67109922
106	0	24263286	0
107	0	24158192	0
108	0	24420915	0
109	1	8570142	67120723
110	0	24240858	0
111	1	8597578	67196664
112	0	24288108	0
113	1	8595297	67242201
114	1	8610824	67202359
115	0	24305912	0
116	1	8626035	67397039
117	0	24264772	0
118	1	8514552	66546493
119	1	8536900	66746313
120	0	24248686	0
121	1	8557377	66974372
122	1	8554332	66878122
123	0	24340923	0
124	0	24305027	0
125	1	8570983	67018487
126	0	24402059	0
127	1	8627745	67341762
128	0	24249420	0
129	1	8643027	67466212
130	0	24282359	0
131	0	24210590	0
132	1	8567814	66913230
133	1	8556754	66852593
134	1	8584228	67004493
135	0	24292044	0
136	1	8723833	68014870
137	1	8551102	66851690
138	1	8555131	66976496
139	0	24306798	0
140	1	8591327	67117661
141	1	8629284	67349395
142	1	8629167	67353201
143	0	24476714	0
144	0	24513905	0
145	1	8570630	66948148
146	0	24397692	0
147	0	24324681	0
148	1	8593793	67137831
149	1	8578221	66946049
150	0	24551638	0
151	1	8553893	66904944
152	1	8594510	67031943
153	1	8599037	66923553
154	0	24221166	0
155	0	24219274	0
156	1	8550574	66986673
157	0	24411905	0
158	1	8563810	67004856
159	1	8587400	67091066
160	0	24472432	0
161	0	24374550	0
162	0	24292300	0
163	1	8528628	66854028
164	1	8615009	67214179
165	1	8556504	66952354
166	1	8568913	66893983
167	1	8611227	67352742
168	1	8557166	66756535
169	1	8593388	66910325
170	0	24354769	0
171	0	24250587	0
172	0	24209322	0
173	0	24315955	0
174	1	8580343	66961536
175	0	24144328	0
176	0	24316686	0
177	0	24749502	0
178	1	8585626	66941506
179	0	24391917	0
180	0	24370198	0
181	1	8585107	67096247
182	0	24415549	0
183	0	24272395	0
184	1	8581955	67132511
185	1	8573467	67070590
186	0	24167564	0
187	1	8589957	67086425
188	1	8580116	67014140
189	1	8565196	66970854
190	1	8546883	66851935
191	1	8550494	66842753
192	1	8598322	67056582
193	1	8565178	66912959
194	0	24421052	0
195	1	8593201	67233930
196	1	8639535	67416026
197	1	8578370	67006552
198	1	8600309	67199493
199	1	8534512	66630332
