# N  = 783061
# Nc = 200
# Na = 500
# Fc = 0.997
# kB = 117.283
#
# run	success	duration[mus]	usedSteps
0	1	10975435	73127668
1	0	22367698	0
2	0	22657119	0
3	1	8618582	78228865
4	1	8560781	84550645
5	1	8554425	89632760
6	0	22449616	0
7	1	8611758	82043441
8	1	8566355	90947896
9	1	8582110	81794168
10	1	8615573	79201556
11	1	8556662	84016346
12	1	10489290	69621241
13	1	8561476	81532024
14	0	20757137	0
15	1	9671001	69174444
16	1	8609704	85248140
17	1	8584931	84580332
18	0	22588345	0
19	0	21559658	0
20	0	23240781	0
21	0	23305537	0
22	0	20712631	0
23	0	21512246	0
24	0	23241807	0
25	1	8567007	70760821
26	0	23855667	0
27	1	8666519	71181830
28	1	11078687	73413824
29	1	8604849	70773903
30	1	8583271	86452828
31	1	8578422	83781859
32	1	8598520	84341400
33	1	8638737	84767892
34	0	23477432	0
35	0	20643699	0
36	0	21196717	0
37	1	8674650	71572765
38	1	8624043	85338516
39	1	8589576	84719130
40	1	8896694	87626030
41	1	10082417	68481574
42	0	22638100	0
43	1	8550282	81576854
44	1	8633430	85405707
45	1	8550797	81293619
46	0	20652586	0
47	1	8595971	70825253
48	0	22818142	0
49	1	8677931	81196484
50	0	21730977	0
51	1	8585511	84795158
52	1	10344615	68956113
53	0	22041510	0
54	0	20748477	0
55	1	8588567	81900058
56	1	8558254	92529147
57	0	24559035	0
58	1	10627473	71377725
59	1	8561958	81685930
60	1	8562353	84564032
61	0	20800447	0
62	1	10212796	67982113
63	1	8584221	70419523
64	1	11095550	73795963
65	0	22010669	0
66	1	8656361	86630728
67	1	8614557	81738230
68	0	20595383	0
69	0	22946998	0
70	1	8589656	72399460
71	0	21879806	0
72	0	23258975	0
73	1	8556047	84737881
74	1	8618049	90767698
75	1	8634826	85121359
76	1	8574629	84048588
77	1	8540008	89383510
78	1	8559524	84292711
79	0	22182328	0
80	0	23439456	0
81	0	20564256	0
82	1	8557967	70321802
83	1	8557934	81408891
84	1	11338842	75613282
85	0	21894320	0
86	1	8728226	85961033
87	0	22694578	0
88	0	22379609	0
89	0	20718599	0
90	0	23679505	0
91	1	8618207	82109491
92	1	10442071	69124056
93	0	24584165	0
94	0	21715407	0
95	1	8608297	84597516
96	1	8591047	84890794
97	1	8543223	84056749
98	1	10781974	89200274
99	1	8579181	75149042
100	0	20700197	0
101	1	10187807	82452044
102	1	10879987	72157433
103	1	8547632	81336863
104	1	9485559	81796425
105	1	8619602	84861298
106	0	20859373	0
107	1	8644611	85224326
108	1	8614596	85042213
109	0	21948336	0
110	0	20650983	0
111	1	8574663	81709545
112	1	8533809	83470223
113	1	8632602	85392322
114	0	21189771	0
115	0	22865360	0
116	1	8570370	84317865
117	1	8641528	71213688
118	1	8796529	82832203
119	1	8600852	84978343
120	1	8532077	84658722
121	0	23268691	0
122	1	8659202	82457713
123	0	20656424	0
124	0	20692398	0
125	1	8583013	81773376
126	1	8649700	85255920
127	0	20765450	0
128	1	8577025	81907879
129	0	22473092	0
130	0	22887229	0
131	1	8567991	70573935
132	1	8647205	85452432
133	1	8562393	81644044
134	1	8579334	84476172
135	1	10442447	69325938
136	1	8635198	77226885
137	1	10962549	72654372
138	1	8579487	85081427
139	0	22104437	0
140	0	22555146	0
141	0	20665949	0
142	1	8568946	83423365
143	0	23165072	0
144	1	8614198	84322823
145	1	8536819	84324428
146	1	10413617	69139777
147	0	20664396	0
148	1	8592470	81973070
149	0	20718262	0
150	1	8546799	81572580
151	0	23210404	0
152	1	8640200	70846246
153	1	8573210	94297945
154	0	24251746	0
155	1	8597157	84654068
156	1	8556244	84127117
157	1	10556528	70219588
158	0	20966341	0
159	0	21241530	0
160	1	8672484	85606456
161	1	8591000	85366145
162	1	8638014	81824806
163	1	8609605	85105167
164	0	22696672	0
165	0	20552711	0
166	0	20681230	0
167	1	8616843	85064644
168	0	23012615	0
169	1	10771914	73344702
170	0	22912679	0
171	1	8674116	85180305
172	0	24219059	0
173	0	20664584	0
174	1	9715135	68909253
175	1	8624931	81952943
176	0	20624595	0
177	1	8530656	79114856
178	1	8653035	81609376
179	1	8655222	85678303
180	1	8548207	84074500
181	0	22816065	0
182	1	8629702	81997038
183	1	11393642	76297289
184	1	8585519	84587503
185	1	8551707	84757041
186	1	8567036	84973683
187	1	8608119	85099146
188	1	8554559	70299610
189	1	8608647	81640346
190	1	8572048	70524491
191	0	22221821	0
192	1	8553408	84642913
193	1	10233462	67958231
194	0	22324160	0
195	0	20753868	0
196	0	22833400	0
197	1	8533564	81473000
198	1	8574873	84585831
199	1	8615403	71012729
