# N  = 2201
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 26.5624
#
# run	success	duration[mus]	usedSteps
0	1	7019427	95639180
1	1	7076376	95989323
2	1	6991114	95311028
3	1	6944397	94793632
4	1	7017334	95484597
5	1	6999088	94924087
6	1	6999439	95398572
7	1	7020970	95943004
8	1	7052700	96246010
9	1	6998971	95569362
10	1	6973992	95184190
11	1	6975745	95166060
12	1	6988472	95354077
13	1	6969388	95155949
14	1	7025199	95963065
15	1	6984458	94984030
16	1	7049710	95856000
17	1	6947863	94669243
18	1	7013966	95930164
19	1	7038843	95724558
