# N  = 3175883
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 155.083
#
# run	success	duration[mus]	usedSteps
0	1	30515510	338750237
1	1	30218141	333860719
2	1	30267396	335973320
3	1	30411926	336247380
4	1	30218977	334866642
5	1	30185430	334848637
6	1	30334253	336378101
7	1	30461454	336879664
8	0	150825546	0
9	1	36882502	399939539
10	1	30417845	336888682
11	1	30092628	332856751
12	1	30298959	378788002
13	1	30289623	335235373
14	1	30542927	381809253
15	1	30563266	381450234
16	1	30425434	337305440
17	1	30206810	377258400
18	0	149834422	0
19	1	30205151	377648200
