# N  = 4063
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 26.5624
#
# run	success	duration[mus]	usedSteps
0	1	11444875	117960328
1	1	11372157	118110328
2	1	11392759	118137350
3	1	11329489	117819963
4	0	15835503	0
5	1	11354147	117385120
6	1	11341553	117489330
7	1	11297065	117489013
8	0	16045854	0
9	1	11318305	117606348
10	1	11402534	117927214
11	0	16180418	0
12	1	11397044	117744299
13	0	15966823	0
14	1	11231736	116082245
15	1	11150704	115906335
16	1	11401774	117543130
17	0	16055875	0
18	1	11258461	117094244
19	0	16015365	0
