# N  = 943
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 15.7331
#
# run	success	duration[mus]	usedSteps
0	1	4247349	51414091
1	1	4199138	51063108
2	1	4151501	50459171
3	1	4190750	50995614
4	1	4180352	51055703
5	1	4192244	50898000
6	1	6801292	60267350
7	1	4184224	50917165
8	1	4192999	50872119
9	1	4222787	51383388
10	1	4202342	51284441
11	1	4147742	50665097
12	1	4190871	51101155
13	1	4160037	50649195
14	1	4223690	51123064
15	1	4156615	50842058
16	1	4212241	51211737
17	1	4219491	51400055
18	1	4228933	51357080
19	1	4233808	51245121
