# N  = 3107
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 26.5624
#
# run	success	duration[mus]	usedSteps
0	1	10674265	111628103
1	1	10547437	111402005
2	1	10659173	112301147
3	1	10510481	110864255
4	1	10683216	111748597
5	1	10743830	112734072
6	1	10577567	111583000
7	1	10605213	111366119
8	1	10668388	112433031
9	1	10651030	111452054
10	1	10620477	111260174
11	1	10574891	110906288
12	1	10485613	110118333
13	1	10576989	111071269
14	1	10487302	110656026
15	1	10592412	111005575
16	0	15657522	0
17	1	10692843	112263778
18	1	10537279	110783018
19	1	10538453	111219021
