# N  = 11607258
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 200.239
#
# run	success	duration[mus]	usedSteps
0	1	28960398	332698148
1	1	29265916	296931254
2	1	32963987	330883210
3	1	29225259	296389353
4	1	29312652	297234235
5	1	45104381	439360393
6	1	35589092	354775699
7	1	29286479	297510024
8	1	29445700	299207678
9	1	44399363	431906124
10	1	29065625	295649199
11	1	36769208	365458580
12	1	42977549	420529131
13	1	32800264	329638824
14	1	32982130	331163214
15	1	29413027	297971227
16	1	29309654	297718000
17	1	67909009	628538751
18	1	29452811	298888850
19	1	29450448	298538542
