# N  = 161
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 8.3365
#
# run	success	duration[mus]	usedSteps
0	1	3503007	35120012
1	1	3478462	34599056
2	1	3460387	34806007
3	1	3471065	34539028
4	1	3417804	34611054
5	1	3479187	34606008
6	1	3454328	34710004
7	1	3489383	34911132
8	1	3486473	34853039
9	1	3452800	34652055
10	1	3438149	34467041
11	1	3418441	34348127
12	1	3450378	34483002
13	1	3401568	34142000
14	1	3440398	34380016
15	1	3424736	34525046
16	1	3455260	34758059
17	1	3417906	34402038
18	1	3461864	34777185
19	1	3483742	34550075
