# N1 = 241
# N2 = 241
# N  = 58081
# Nc = 500000
# Na = 600
# Fc = 0.997
# kB = 61.1343
#
# run	success	duration[mus]	usedNa
0	1	11710	4
1	1	4827	2
2	1	3840	0
3	1	10498	3
4	1	6486	1
5	1	10113	12
6	1	3984	1
7	1	3709	0
8	1	6790	3
9	1	7670	1
10	1	7237	2
11	1	4396	0
12	1	4380	0
13	1	4995	0
14	1	6186	1
15	1	6146	0
16	1	6857	0
17	1	7526	3
18	1	6211	0
19	1	8109	2
20	1	6350	0
21	1	9239	5
22	1	6807	2
23	1	5527	0
24	1	9041	2
25	1	6769	0
26	1	8535	1
27	1	5692	0
28	1	15338	8
29	1	3751	1
30	1	3473	0
31	1	3527	1
32	1	3534	0
33	1	5545	5
34	1	5231	4
35	1	4519	0
36	1	5799	6
37	1	5571	1
38	1	2779	0
39	1	3832	1
40	1	3751	2
41	1	6665	2
42	1	5954	1
43	1	6905	1
44	1	6689	3
45	1	8799	1
46	1	6260	0
47	1	9138	5
48	1	3838	1
49	1	5905	7
