# N  = 55123
# Nc = 500
# Na = 500
# Fc = 0.997
# kB = 61.1343
#
# run	success	duration[mus]	usedSteps
0	1	7140419	14011238
1	1	7144365	14023908
2	1	7106987	14017037
3	1	7128130	14007339
4	1	7083221	14004730
5	1	7163342	14017016
6	1	7112737	14003439
7	1	7099936	14001727
8	1	7170188	14022088
9	1	7081472	14012991
10	1	7106486	14017747
11	1	7105648	14002826
12	1	7119677	14000877
13	1	7130987	14000471
14	1	7121684	14024478
15	1	7097231	14007188
16	1	7118934	14063822
17	1	7097670	14004817
18	1	7132460	14004714
19	1	7098827	14005479
