# N  = 783061
# Nc = 500
# Na = 500
# Fc = 0.997
# kB = 117.283
#
# run	success	duration[mus]	usedSteps
0	1	22482587	32920028
1	1	22328946	32759437
2	1	22312895	32946589
3	1	22298200	32791924
4	1	22383655	32860701
5	1	22302132	32834341
6	1	22321793	32858015
7	1	22291033	32811973
8	1	22442887	32987696
9	1	22333894	32851815
10	1	22298762	32833569
11	0	78612901	0
12	1	22233984	32765423
13	1	22350159	32858349
14	1	22331453	32833149
15	1	22294376	32810587
16	1	22181837	32776314
17	0	78919172	0
18	1	22353573	32898042
19	1	22299506	32838042
