# N  = 86557
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 72.9444
#
# run	success	duration[mus]	usedSteps
0	1	21282439	39009760
1	1	25927610	39011166
2	1	27386576	39026830
3	1	21563297	39006589
4	1	21435225	39023561
5	1	21395994	39002308
6	1	21348464	39012624
7	1	24977313	39007126
8	1	21461758	39007095
9	1	21376300	39013951
10	1	23083708	39028552
11	1	21467300	39019665
12	1	21475458	39001165
13	1	21450401	39018004
14	1	24684798	39003953
15	1	21527297	39001915
16	1	21580980	39015626
17	1	21351270	39003553
18	1	21586986	39076466
19	1	25290442	39005773
