# N  = 445083
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 100.937
#
# run	success	duration[mus]	usedSteps
0	1	68129281	101538530
1	1	80994941	101515080
2	1	75901533	101530756
3	1	75071240	101674739
4	1	68539547	101651080
5	1	79370293	101561098
6	1	82354433	101674223
7	1	73744647	101509773
8	1	82710144	101689640
9	1	76386516	101527264
10	1	76575506	101566184
11	1	68093771	101513622
12	1	73319820	101532806
13	1	67910895	101529277
14	1	68141169	101787035
15	1	78490780	101618190
16	1	78884849	101603749
17	1	82982204	101741771
18	1	76634406	101726797
19	1	75719365	101500556
