# N  = 168490
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 86.1847
#
# run	success	duration[mus]	usedSteps
0	1	6150014	14026660
1	1	6408101	14060589
2	1	7258546	14013827
3	1	7066393	14016108
4	1	8379117	14088605
5	1	6551935	14008033
6	1	7175349	14143368
7	1	6261140	14053318
8	1	9101575	14062151
9	1	8234507	14030487
10	1	7567044	14017205
11	1	6143403	14001348
12	1	6527506	14020633
13	1	6140845	14019817
14	1	8667202	14022453
15	1	7677755	14036223
16	1	7588496	14010342
17	1	7460518	14007282
18	1	9088865	19505390
19	1	6886143	14008177
