# N  = 623676
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 117.283
#
# run	success	duration[mus]	usedSteps
0	1	10502646	21511459
1	1	13424471	21893573
2	1	12922603	21566207
3	1	10722527	21645953
4	1	14631742	27517623
5	1	13830927	21596814
6	1	14610366	27648218
7	1	12314812	21616197
8	1	14416642	21523375
9	1	10862183	21508739
10	1	10651947	21597879
11	1	10604475	21503742
12	1	10751892	21695663
13	1	13304141	21583380
14	1	10819916	21681484
15	1	14683446	27554315
16	1	14646205	27558643
17	1	10835392	21690953
18	1	13035104	21659992
19	1	10581894	21504744
