# N  = 794028
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 117.283
#
# run	success	duration[mus]	usedSteps
0	1	16061530	23098283
1	1	14773585	23291821
2	1	14710907	23022964
3	1	15862490	23109487
4	1	14702459	23256724
5	1	13740959	23065068
6	1	13618773	23410608
7	1	15828264	23038403
8	1	13987614	23445962
9	1	13351040	23114564
10	1	15540758	23455501
11	1	12435016	23007010
12	1	11529836	23046095
13	1	11628007	23104957
14	1	14090135	23082663
15	1	14513851	23350814
16	1	13392164	23036736
17	1	16604029	23045669
18	1	15011340	23102690
19	1	14832828	23159622
