# N  = 1958
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 20.6778
#
# run	success	duration[mus]	usedSteps
0	1	2026875	6000502
1	1	2049426	6000652
2	1	2031997	6000311
3	1	2013671	6000186
4	1	2044519	6000106
5	1	2065099	6000449
6	1	2023779	6000127
7	1	2094789	6000960
8	1	2026048	6000197
9	1	2065064	6001397
10	1	2072874	6000640
11	1	2081832	6002320
12	1	2027871	6001135
13	1	2030878	6000437
14	1	2086252	6000163
15	1	2034662	6000099
16	1	2013169	6000593
17	1	2001542	6001214
18	1	2047981	6000908
19	1	2052729	6000279
