# N  = 7292
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 33.4686
#
# run	success	duration[mus]	usedSteps
0	1	2589643	7000274
1	1	2619289	7003670
2	1	2537946	7005412
3	1	3526235	7003389
4	1	2551730	7002195
5	1	2655160	7003308
6	1	2665714	7003893
7	1	2561600	7005300
8	1	2628278	7005302
9	1	2616123	7002824
10	1	3309234	7001697
11	1	2632767	7002551
12	1	2612639	7001607
13	1	2710418	7005405
14	1	2589683	7003392
15	1	2662624	7000495
16	1	3303613	7000693
17	1	2629737	7002974
18	1	2578200	7001916
19	1	2617398	7001041
