# N  = 1245862
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 135.305
#
# run	success	duration[mus]	usedSteps
0	1	23134100	34347570
1	1	24821574	41885687
2	1	23487594	34006208
3	1	24418579	41519246
4	1	18999336	34143442
5	1	24166448	34078985
6	1	21122266	34162948
7	1	19156085	34089435
8	1	24675697	41718232
9	1	24884082	34003151
10	1	24471686	34295973
11	1	24684049	41688543
12	1	24552440	41571954
13	1	24947613	41847313
14	1	24849031	41870060
15	1	31173068	41874694
16	1	24447658	41545858
17	1	24953478	41716216
18	1	24663578	41683234
19	1	42677135	41506201
