# N  = 5061568
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 176.701
#
# run	success	duration[mus]	usedSteps
0	1	37884307	57808355
1	1	47364733	68051256
2	1	47508592	68261024
3	1	44079376	57969426
4	1	47327232	68054793
5	1	46246436	57579336
6	1	43473991	57723986
7	1	44773164	57597047
8	1	47131879	57543394
9	1	42291407	57598824
10	1	47609495	68001487
11	1	47489015	68067060
12	1	37774035	57501829
13	1	47020388	57704015
14	1	37799518	57580971
15	1	47598357	68055870
16	1	43249298	57612511
17	1	37691782	57507984
18	1	47379040	68018611
19	1	47646870	68006124
