# N  = 5844929
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 176.701
#
# run	success	duration[mus]	usedSteps
0	1	58098390	61223833
1	1	44261897	61115781
2	1	44128292	61153426
3	1	44145595	61005087
4	1	44253955	61404480
5	0	190788800	0
6	1	44133013	61062832
7	1	44072683	61130296
8	0	189027926	0
9	1	44187170	61257562
10	1	44162376	61261262
11	0	182455139	0
12	1	44139541	61496063
13	0	194321757	0
14	0	183902242	0
15	1	44475853	61460634
16	1	44395658	61351695
17	0	171590366	0
18	1	44142768	61189339
19	1	44128426	61278787
