# N  = 50960
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 61.1343
#
# run	success	duration[mus]	usedSteps
0	1	2150912	5009040
1	1	2337146	5018620
2	1	3768540	5003750
3	1	2048002	5005874
4	1	2868006	5011744
5	1	2155032	5000975
6	1	2791991	5007320
7	1	2610514	5005023
8	1	2291244	5024388
9	1	2084750	5019215
10	1	2678434	5010313
11	1	2280769	5009230
12	1	3015037	5005625
13	1	2152811	5018658
14	1	3096254	5013746
15	1	3205238	5001128
16	1	3957325	5010711
17	1	2056819	5020027
18	1	3999750	5008859
19	1	2039607	5001822
