# N  = 10461
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 41.4782
#
# run	success	duration[mus]	usedSteps
0	1	8011900	20501816
1	1	8010979	20500815
2	1	7965531	20500804
3	1	8050226	20500784
4	1	7969536	20500206
5	1	8037193	20500172
6	1	8080868	20500221
7	1	7993753	20501007
8	1	8046577	20501382
9	1	7942775	20500348
10	1	8068008	20500625
11	1	8032237	20501780
12	1	7999176	20504828
13	1	8111086	20508019
14	1	7997005	20501961
15	1	7996369	20500844
16	1	8056939	20502874
17	1	8072074	20500470
18	1	8045194	20501206
19	1	8538964	20500734
