# N  = 2570
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 26.5624
#
# run	success	duration[mus]	usedSteps
0	1	1089221	3000603
1	1	1063280	3000535
2	1	1104661	3000021
3	1	1075981	3000257
4	1	1062376	3001307
5	1	1051761	3001904
6	1	1057239	3004213
7	1	1079338	3000334
8	1	1079378	3006132
9	1	1086741	3000444
10	1	1021431	3002631
11	1	1048713	3000789
12	1	1038618	3000369
13	1	1089922	3000762
14	1	1048518	3000917
15	1	1048451	3001638
16	1	1050726	3000439
17	1	1098533	3000610
18	1	1065036	3000560
19	1	1059807	3001224
