# N  = 189010
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 86.1847
#
# run	success	duration[mus]	usedSteps
0	1	8648524	17001207
1	1	9943406	14511989
2	1	8864135	17009922
3	1	7255710	14509810
4	1	10305933	17000574
5	1	8427627	19039788
6	1	9544330	14500375
7	1	8327844	19020147
8	1	10049786	17002136
9	1	10022324	14513205
10	1	9119140	19012957
11	1	7302935	14501437
12	1	8411473	19024967
13	1	9608015	14507422
14	1	8650609	17008951
15	1	7964401	14505402
16	1	8945400	14502951
17	1	8180589	14500573
18	1	8355624	19084127
19	1	8333615	14501904
