# N  = 129
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 8.3365
#
# run	success	duration[mus]	usedSteps
0	1	2388537	8000012
1	1	2480898	8000000
2	1	2417176	8000083
3	1	2436052	8000048
4	1	2444922	8000200
5	1	2456721	8000201
6	1	2453132	8000144
7	1	2405481	8000048
8	1	2498392	8000029
9	1	2441947	8000194
10	1	2464159	8000064
11	1	2449823	8000407
12	1	2483843	8000069
13	1	2444154	8000218
14	1	2422762	8000005
15	1	2418382	8000095
16	1	2436543	8000044
17	1	2402108	8000069
18	1	2440688	8000077
19	1	2375766	8000504
