# N1 = 66889
# N2 = 104723
# N  = 7004816747
# Nc = 80000
# Na = 1000
# Fc = 0.997
# kB = 216
#
# run	success	duration[mus]	usedNa
0	0	19082842	0
1	0	22389246	0
2	0	20183284	0
3	0	21771110	0
4	0	20790268	0
5	0	20989486	0
6	0	20267002	0
7	0	21418422	0
8	0	19601605	0
9	0	20618309	0
10	0	20329747	0
11	0	20731287	0
12	0	21130895	0
13	0	20264948	0
14	0	19474637	0
15	0	20175646	0
16	0	22133340	0
17	0	20820269	0
18	0	22014934	0
19	0	20739918	0
20	0	22023091	0
21	1	42569	159
22	0	21325703	0
23	0	15225402	0
24	1	7733	6
25	0	20685596	0
26	0	20376332	0
27	0	22561080	0
28	0	15472104	0
29	0	20202336	0
30	0	19642297	0
31	0	22800535	0
32	0	15415707	0
33	0	21179500	0
34	0	21808190	0
35	0	21056693	0
36	0	20590388	0
37	0	20433574	0
38	0	18815341	0
39	0	22730544	0
40	0	21610955	0
41	0	19684956	0
42	0	18755423	0
43	0	19853534	0
44	0	20463386	0
45	0	20091663	0
46	0	23046266	0
47	0	15286076	0
48	0	20048672	0
49	0	20797058	0
50	0	19574138	0
51	0	19987780	0
52	0	15360545	0
53	0	18978671	0
54	0	19575379	0
55	0	20167989	0
56	0	19970803	0
57	0	19208743	0
58	1	167319	756
59	0	18556052	0
60	0	19502278	0
61	0	20172571	0
62	0	15726633	0
63	0	21041557	0
64	0	20195209	0
65	0	21600344	0
66	0	20681054	0
67	0	19170235	0
68	0	21849473	0
69	0	21297831	0
70	0	21685978	0
71	0	19400781	0
72	0	22620192	0
73	0	20771494	0
74	1	414428	1853
75	0	20684191	0
76	0	20852479	0
77	0	15695422	0
78	0	20324262	0
79	0	19078905	0
80	1	17216	31
81	0	22717269	0
82	0	15849056	0
83	0	19132837	0
84	0	19169727	0
85	0	19707250	0
86	1	40896	142
87	0	21299505	0
88	0	20692842	0
89	0	22414411	0
90	0	15328387	0
91	0	19657849	0
92	0	21798973	0
93	0	21844971	0
94	0	21338917	0
95	0	20191078	0
96	0	18972319	0
97	0	20260389	0
98	0	19152687	0
99	0	18999541	0
100	0	19530275	0
101	0	19078347	0
102	0	20393917	0
103	0	21880849	0
104	0	15615309	0
105	0	19451805	0
106	0	20774306	0
107	0	20038338	0
108	0	19996936	0
109	0	15571670	0
110	0	19484405	0
111	0	21473634	0
112	0	19107022	0
113	0	19059481	0
114	0	21661088	0
115	1	153257	780
116	0	21358612	0
117	0	21409277	0
118	0	19677379	0
119	0	21512669	0
120	0	20431502	0
121	0	20015270	0
122	0	16009178	0
123	0	22293706	0
124	0	15504953	0
125	0	20349593	0
126	0	22499269	0
127	0	21069294	0
128	0	15603279	0
129	0	19097968	0
130	0	20416806	0
131	0	20093838	0
132	0	20829060	0
133	0	22392048	0
134	0	18674825	0
135	0	19349774	0
136	0	19783462	0
137	0	22491253	0
138	0	20350815	0
139	0	15777957	0
140	0	20243349	0
141	1	167095	748
142	0	20434932	0
143	0	22149504	0
144	0	20480840	0
145	0	22715463	0
146	0	21930052	0
147	0	19553114	0
148	0	19593418	0
149	0	22056467	0
150	0	22407041	0
151	0	20329710	0
152	0	19943815	0
153	0	15530294	0
154	0	20162120	0
155	0	19687516	0
156	0	15442340	0
157	0	15577507	0
158	0	22252276	0
159	0	19597779	0
160	0	20050348	0
161	0	20379939	0
162	0	20164170	0
163	0	15405834	0
164	0	20378406	0
165	0	18607246	0
166	0	18964945	0
167	0	19459436	0
168	0	20136628	0
169	0	15942216	0
170	0	18515878	0
171	0	19516968	0
172	0	19133996	0
173	0	20105389	0
174	0	18094485	0
175	0	19511019	0
176	0	19277889	0
177	0	19662953	0
178	0	15686888	0
179	0	19606051	0
180	0	19526392	0
181	0	19989259	0
182	0	18829301	0
183	0	18211992	0
184	0	19533665	0
185	1	37076	145
186	0	18866353	0
187	0	20140423	0
188	0	22427454	0
189	1	46320	172
190	0	19993955	0
191	0	19734959	0
192	0	21103501	0
193	0	21967778	0
194	0	20678747	0
195	0	19537558	0
196	0	19176423	0
197	0	20203792	0
