# N  = 783061
# Nc = 500
# Na = 500
# Fc = 0.997
# kB = 117.283
#
# run	success	duration[mus]	usedSteps
0	1	138006760	6355184
1	1	138362736	6355184
2	1	138473374	6355184
3	1	138464318	6355184
4	1	138498738	6355184
5	1	138422001	6355184
6	1	138391132	6355184
7	1	138513728	6355184
8	1	138457746	6355184
9	1	138501306	6355184
10	1	138493388	6355184
11	1	138508654	6355184
12	1	138414201	6355184
13	1	138422066	6355184
14	1	138556194	6355184
15	1	138440426	6355184
16	1	138464465	6355184
17	1	138461151	6355184
18	1	138521816	6355184
19	1	138442724	6355184
