# N  = 2323
# Nc = 500
# Na = 500
# Fc = 0.997
# kB = 26.5624
#
# run	success	duration[mus]	usedSteps
0	1	18454228	6355184
1	1	18534767	6355184
2	1	18521182	6355184
3	1	18527675	6355184
4	1	18541781	6355184
5	1	18561742	6355184
6	1	18533952	6355184
7	1	18571945	6355184
8	1	18528717	6355184
9	1	18544106	6355184
10	1	18540699	6355184
11	1	18539577	6355184
12	1	18540538	6355184
13	1	18570925	6355184
14	1	18566039	6355184
15	1	18543299	6355184
16	1	18523667	6355184
17	1	18525726	6355184
18	1	18528648	6355184
19	1	18518783	6355184
