# N1 = 66889
# N2 = 104723
# N  = 7004816747
# Nc = 80000
# Na = 1000
# Fc = 0.997
# kB = 1
#
# run	success	duration[mus]	usedNa
0	0	20158359	0
1	0	19362796	0
2	0	15434737	0
3	1	10110722	4504
4	1	6421437	4209
5	1	1488084	876
6	0	21451779	0
7	0	20033179	0
8	0	20544093	0
9	1	11857936	7681
10	0	22831844	0
11	0	15419123	0
12	1	12613011	8311
13	0	20887249	0
14	0	18871662	0
15	0	15430375	0
16	1	14742920	7310
17	1	4907535	3200
18	0	19801660	0
19	0	18894116	0
20	0	22322615	0
21	0	20201781	0
22	0	21244591	0
23	0	20399427	0
24	0	15423573	0
25	0	19255857	0
26	1	13628137	8974
27	0	22726754	0
28	0	22346780	0
29	0	20645533	0
30	0	17786963	0
31	0	20053422	0
32	0	21153812	0
33	0	19717358	0
34	0	20220103	0
35	0	20568843	0
36	0	17406702	0
37	0	18531094	0
38	0	22137922	0
39	0	19858218	0
40	0	20456555	0
41	0	19482779	0
42	0	21822898	0
43	0	19224095	0
44	0	19458987	0
45	0	19027867	0
46	0	19779477	0
47	0	22049599	0
48	0	18416741	0
49	0	20461208	0
50	1	6305527	3874
51	1	8470370	5522
52	1	7942407	5242
53	1	7200641	4680
54	0	21004444	0
55	0	20925409	0
56	0	20720939	0
57	0	21404981	0
58	0	20203978	0
59	1	1230683	800
60	1	13037114	6278
61	0	20889216	0
62	1	7748430	3555
63	0	22189137	0
64	0	15474820	0
65	1	653703	427
66	1	11545370	7524
67	0	19972354	0
68	1	6035862	3968
69	0	19579649	0
70	0	20401903	0
71	0	20027219	0
72	1	16083515	8755
73	0	19023076	0
74	0	19468033	0
75	0	20831344	0
76	0	15394899	0
77	0	19188047	0
78	0	19081605	0
79	0	21182584	0
80	0	19437220	0
81	0	21353778	0
82	0	19758536	0
83	0	19779987	0
84	0	20847407	0
85	1	1465099	962
86	0	15926432	0
87	0	19513599	0
88	0	18891034	0
89	1	10489404	5032
90	0	20618483	0
91	0	18916385	0
92	0	21107926	0
93	0	19425452	0
94	0	19235352	0
95	0	19350073	0
96	0	19417600	0
97	0	19073888	0
98	0	18773588	0
99	1	8722223	4224
100	1	5483977	3585
101	0	22605713	0
102	1	362544	237
103	0	21458731	0
104	1	11764633	7621
105	0	21713892	0
106	0	15404868	0
107	0	21989258	0
108	1	18802697	8217
109	0	19879350	0
110	0	19822762	0
111	0	22190771	0
112	0	15420129	0
113	0	20523756	0
114	0	19385182	0
115	1	12657943	8332
116	0	20429063	0
117	0	19536069	0
118	0	18766476	0
119	1	13433881	8769
120	1	14615157	7954
121	0	20836599	0
122	0	19050703	0
123	0	18764822	0
124	1	1841114	1206
125	0	19824345	0
126	0	21245820	0
127	0	22208828	0
128	0	21880831	0
129	0	20687290	0
130	1	6015904	3933
131	0	15443177	0
132	0	22249790	0
133	1	14884775	9779
134	1	12438708	8029
135	1	11159374	7342
136	0	20957009	0
137	1	5083280	3338
138	0	22883613	0
139	0	21769743	0
140	1	6203981	2628
141	0	15443297	0
142	0	15430361	0
143	0	15473688	0
144	0	19999509	0
145	0	20671441	0
146	1	11143155	7223
147	0	20574964	0
148	1	11115607	7315
149	1	1062497	591
150	0	20126450	0
151	0	20111170	0
152	0	15443367	0
153	0	20358934	0
154	0	15445876	0
155	0	19472957	0
156	0	19493729	0
157	1	7427453	4605
158	1	7452455	3877
159	0	19560784	0
160	0	15442230	0
161	1	15337126	7994
162	1	4882819	2385
163	0	20487525	0
164	0	19222371	0
165	0	19553067	0
166	0	15455724	0
167	0	19716321	0
168	0	19552661	0
169	0	19984838	0
170	1	2976626	1936
171	1	11870604	7754
172	1	11887108	4095
173	1	3129998	2038
174	0	22075502	0
175	0	19661317	0
176	1	9148843	4501
177	0	19287253	0
178	0	19863225	0
179	0	19294064	0
180	0	15442129	0
181	0	19816042	0
182	1	9104042	4877
183	0	22679110	0
184	0	15416823	0
185	0	17142815	0
186	0	15442549	0
187	0	19172382	0
188	0	15468859	0
189	1	10094877	5226
190	0	19871363	0
191	0	19468283	0
192	1	10280738	6672
193	0	21370159	0
194	0	19552285	0
195	1	9784500	6416
196	0	20477255	0
197	0	18686207	0
198	1	9539413	6191
199	0	19585375	0
200	1	1115167	649
201	1	3681344	2405
202	1	9719923	4345
203	0	19173722	0
204	0	19491861	0
205	0	20230332	0
206	0	19363431	0
207	1	6520774	4268
208	0	19720205	0
209	0	19130648	0
210	0	19316652	0
211	0	20158403	0
212	1	1843176	1198
213	0	19862323	0
214	1	4056577	2646
215	0	20903929	0
216	0	19214803	0
217	0	22207293	0
218	0	19581332	0
219	0	20067914	0
220	0	15421685	0
221	1	16777951	7374
222	0	19352916	0
223	0	15616227	0
224	0	19578790	0
225	0	20546067	0
226	0	20226912	0
227	1	18164274	9554
228	1	582809	382
229	0	21229494	0
230	0	20013626	0
231	0	20362746	0
232	0	19605166	0
233	0	16993473	0
234	0	19381304	0
235	0	20810635	0
236	0	17492394	0
237	0	19537458	0
238	1	5847932	2817
239	0	19447262	0
240	1	17846268	9240
241	0	19502895	0
242	0	19302707	0
243	0	19524101	0
244	0	18987328	0
245	1	15234496	9948
246	1	10342446	6759
247	0	15510266	0
248	1	8887439	5785
249	1	10768698	7010
250	0	19122649	0
251	0	20680639	0
252	1	7467929	3211
253	0	21974521	0
254	1	9898807	5369
255	0	18500190	0
256	1	9797324	5212
257	0	20800243	0
258	0	19461635	0
259	0	21623921	0
260	1	10019217	6556
261	1	11643157	7664
262	0	19735296	0
263	0	20039542	0
264	0	21519346	0
265	1	6000870	3911
266	0	19427776	0
267	0	22702984	0
268	0	19999836	0
269	1	5475029	3575
270	0	20277792	0
271	0	21676862	0
272	0	21737996	0
273	0	22180549	0
274	0	20823545	0
275	0	21183328	0
276	1	13518795	5942
277	0	20736927	0
278	0	20296863	0
279	1	1664373	543
280	0	21371355	0
281	0	20052875	0
282	0	20384715	0
283	1	745965	484
284	0	19808573	0
285	1	510354	334
286	1	3430030	2226
287	1	5112087	3329
288	1	151168	92
289	0	22677320	0
290	1	3890181	2561
291	0	15864804	0
292	0	20902923	0
293	0	20500931	0
294	0	21375263	0
295	1	11609200	7648
296	0	20101466	0
297	0	20735286	0
298	0	22008304	0
299	0	21003508	0
300	0	17804932	0
301	0	21004625	0
302	0	20680172	0
303	1	5099902	3362
304	0	19543100	0
305	0	20488824	0
306	1	8300489	5468
307	0	19013490	0
308	0	20099423	0
309	1	12735450	7444
310	0	19529094	0
311	0	19897951	0
312	0	20130290	0
313	0	21600541	0
314	0	15414860	0
315	0	20524852	0
316	0	19558630	0
317	0	19450434	0
318	0	19270447	0
319	0	19512664	0
320	0	19015343	0
321	1	2645417	1099
322	1	13719010	8960
323	0	18917543	0
324	0	19836719	0
325	0	15432021	0
326	0	21289768	0
327	0	19941156	0
328	0	21484332	0
329	1	4541188	1842
330	1	12198037	7944
331	1	266678	127
332	1	6033646	3181
333	1	12130323	5857
334	0	19121478	0
335	0	19272287	0
336	1	3238221	2106
337	0	22205454	0
338	0	19904653	0
339	1	11461809	6981
340	0	18582761	0
341	0	16776404	0
342	0	20401956	0
343	1	15702400	8981
344	0	19378723	0
