# N1 = 66889
# N2 = 104723
# N  = 7004816747
# Nc = 80000
# Na = 1000
# Fc = 0.997
# kB = 2197
#
# run	success	duration[mus]	usedNa
0	0	19350978	0
1	0	18801233	0
2	0	19131200	0
3	0	19164599	0
4	0	18742343	0
5	0	15396752	0
6	0	20107076	0
7	0	19595192	0
8	0	20364298	0
9	1	7867788	4305
10	1	1607174	733
11	0	19602921	0
12	0	21782004	0
13	0	20475246	0
14	1	5264714	2203
15	0	18504057	0
16	1	14359339	7580
17	0	18689496	0
18	1	3212522	2081
19	0	15442715	0
20	0	19356082	0
21	0	22544736	0
22	0	20372288	0
23	0	20233254	0
24	1	6593096	4277
25	0	20270129	0
26	0	19957102	0
27	1	10017091	6532
28	0	19627359	0
29	0	18480008	0
30	0	20067417	0
31	1	6392227	3041
32	0	19965289	0
33	0	19316333	0
34	0	19837879	0
35	1	12400483	8148
36	0	21061498	0
37	0	15415005	0
38	1	8316902	5474
39	0	19798096	0
40	0	21238354	0
41	1	16354012	7418
42	0	19853150	0
43	0	20155333	0
44	1	2889575	1888
45	0	19680744	0
46	0	18932177	0
47	0	19963947	0
48	0	19043845	0
49	0	20207014	0
50	0	15451611	0
51	1	13759510	7657
52	0	19142088	0
53	1	16672191	9094
54	0	20627421	0
55	0	19173657	0
56	0	20751123	0
57	0	16889006	0
58	0	19292386	0
59	0	18928471	0
60	1	13806640	8991
61	0	21944644	0
62	1	7047504	4637
63	0	20024105	0
64	1	12625571	7189
65	0	15423125	0
66	0	20146918	0
67	1	13698861	8934
68	1	6847956	4463
69	0	19451489	0
70	0	22284237	0
71	0	22407376	0
72	1	5106610	3336
73	0	19715676	0
74	0	19308951	0
75	0	15436423	0
76	1	362071	233
77	1	6597755	4301
78	0	19446052	0
79	1	10626640	6936
80	0	18870300	0
81	0	18750402	0
82	0	19027227	0
83	0	22134383	0
84	0	20691896	0
85	1	19295563	9134
86	0	22681356	0
87	1	17396759	7821
88	0	22493893	0
89	1	5785514	3768
90	0	19575865	0
91	0	22539778	0
92	0	22655322	0
93	0	17246926	0
94	0	21104900	0
95	0	15396766	0
96	0	15455145	0
97	1	8549601	4666
98	0	20792209	0
99	0	15427779	0
100	0	20576292	0
101	1	9184858	4682
102	1	16161928	8383
103	0	22685736	0
104	0	20001642	0
105	0	19304583	0
106	0	18924133	0
107	0	18680102	0
108	0	15408768	0
109	1	9351969	4918
110	0	18640406	0
111	0	15467012	0
112	1	7527016	4916
113	0	19237400	0
114	1	10048478	6547
115	0	19726726	0
116	0	15401466	0
117	0	19975580	0
118	0	18979443	0
119	0	15410270	0
120	0	20600850	0
121	0	18485992	0
122	1	14892978	7756
123	0	22704801	0
124	0	21631456	0
125	1	1937704	970
126	0	19946806	0
127	1	3464492	2258
128	1	9587193	4571
129	1	10212949	6635
130	0	19381768	0
131	0	15430648	0
132	1	7027982	3181
133	0	19915260	0
134	1	2214973	868
135	0	19313627	0
136	1	5357276	2854
137	1	12982380	6288
138	0	18479229	0
139	0	19950948	0
140	0	18734280	0
141	0	20054138	0
142	1	9375951	6100
143	0	18005191	0
144	0	15416362	0
