# N  = 14394
# Nc = 1000
# Na = 1000
# Fc = 0.997
# kB = 15
#
# run	success	duration[mus]	usedSteps
0 1 9618588 178841014
1 1 9645946 166085716
2 1 9456735 177167803
3 1 10717082 185595605
4 1 10016811 181419464
5 1 12137564 205353221
6 1 10925854 188520520
7 1 9736936 182707179
8 1 49167429 177689492
9 1 9583351 179018113
