# N1 = 66889
# N2 = 104723
# N  = 7004816747
# Nc = 80000
# Na = 1000
# Fc = 0.997
# kB = 512
#
# run	success	duration[mus]	usedNa
0	0	21205823	0
1	0	19612518	0
2	1	243802	1229
3	0	20059837	0
4	0	19310778	0
5	0	19573829	0
6	0	19418630	0
7	0	19744229	0
8	0	20007044	0
9	0	19713330	0
10	0	15597957	0
11	0	15484575	0
12	0	21057948	0
13	0	21474129	0
14	0	18169060	0
15	0	19505602	0
16	0	19525069	0
17	0	19887465	0
18	1	40650	150
19	1	583710	2693
20	0	21149197	0
21	1	508980	2629
22	0	19634025	0
23	0	18291010	0
24	0	21166862	0
25	0	19806567	0
26	0	15742869	0
27	0	19822492	0
28	1	252493	1126
29	0	20549845	0
30	1	605392	2772
31	1	15644	48
32	0	21288462	0
33	0	20295561	0
34	0	22504401	0
35	0	18321945	0
36	0	20054499	0
37	1	73466	321
38	0	20982381	0
39	0	15942142	0
40	1	750909	3448
41	0	20870031	0
42	0	19319696	0
43	0	17920283	0
44	0	21708770	0
45	1	106881	466
46	0	19724289	0
47	0	18304690	0
48	1	71858	298
49	0	19660293	0
50	0	20013183	0
51	1	646717	2968
52	0	15705309	0
53	0	22549072	0
54	0	21683016	0
55	1	40468	152
56	1	19889	63
57	0	19841794	0
58	0	15683732	0
59	0	18789643	0
60	1	231796	1188
61	1	288758	1320
62	1	127987	551
63	0	21797518	0
64	0	21573966	0
65	1	448257	2012
66	0	21444901	0
67	0	20196208	0
68	0	19913889	0
69	0	18698498	0
70	0	18804479	0
71	0	20071908	0
72	0	19729560	0
73	0	22689160	0
74	0	22592144	0
75	0	20896460	0
76	0	19510476	0
77	0	20722466	0
78	0	20592386	0
79	1	139426	611
80	1	17028	60
81	1	169039	757
82	0	21129445	0
83	0	20208281	0
84	0	20389216	0
85	0	21457245	0
86	1	456982	2082
87	0	20231644	0
88	0	20727276	0
89	1	453190	2048
90	0	19512332	0
91	0	22759245	0
92	0	21170825	0
93	1	306638	1365
94	0	21447038	0
95	1	227525	1015
96	1	404200	1860
97	0	20506946	0
98	1	35698	143
99	1	228919	1042
100	0	19323555	0
101	0	20770760	0
102	0	19035974	0
103	0	19246080	0
104	1	394605	2015
105	0	15728377	0
106	0	20328104	0
107	0	19608911	0
108	0	21083147	0
109	0	22448543	0
110	0	22149871	0
111	1	141573	619
112	1	398966	1824
113	0	22622781	0
114	0	21404409	0
115	0	15686646	0
116	0	21263760	0
117	1	530338	2427
118	0	21071534	0
119	0	19422359	0
120	1	354575	1622
121	0	22756629	0
122	0	20033850	0
123	0	20368940	0
124	0	21649941	0
125	1	231982	1013
126	1	252249	1157
127	1	126856	567
128	0	19266872	0
129	0	18965794	0
130	0	19830305	0
131	0	20633890	0
132	0	19107536	0
133	1	372393	1707
134	0	19351065	0
135	0	15944083	0
136	0	15509925	0
137	1	377649	1696
138	1	712488	3286
139	0	19463284	0
140	1	129345	548
141	0	20105388	0
142	0	22455836	0
143	0	15698111	0
144	0	15477508	0
145	0	20789714	0
146	0	19657722	0
147	1	150889	671
148	0	19407522	0
149	1	50234	200
150	0	18849416	0
151	0	19553389	0
152	1	182023	794
153	0	19136960	0
154	0	19021355	0
155	1	377014	1704
156	0	15229849	0
157	1	150356	667
158	1	321580	1473
159	1	33888	139
160	1	134491	606
161	0	22321784	0
162	0	21211809	0
163	0	15557398	0
164	0	22862182	0
165	0	15683094	0
166	0	20423073	0
167	0	15477722	0
168	0	21050470	0
169	1	337546	1504
170	0	20789326	0
171	0	22372521	0
172	0	19679198	0
173	1	22542	71
174	0	22093253	0
175	0	22154701	0
176	0	20701444	0
177	1	528784	2404
178	0	21217898	0
179	0	21403886	0
180	0	22703917	0
181	1	59311	235
182	1	139471	631
183	0	19682313	0
184	1	433168	1931
185	0	19759991	0
186	1	223978	1009
187	0	21203341	0
188	0	16031673	0
189	0	21233583	0
190	0	19689312	0
191	1	176341	794
192	0	21459304	0
193	1	357766	1618
194	0	19155034	0
195	0	21617750	0
196	0	21166615	0
197	1	464265	2110
198	0	19084938	0
199	0	19753376	0
200	1	67808	271
201	0	16610817	0
202	0	15652439	0
203	0	19453123	0
204	0	19627273	0
205	0	19010117	0
206	0	19260460	0
207	0	18048740	0
208	1	25567	92
209	0	19977223	0
210	0	18882481	0
211	0	18977827	0
212	0	19266929	0
213	0	19786543	0
214	0	20758052	0
215	1	131912	577
216	0	22236670	0
217	0	22253149	0
218	0	22792846	0
219	1	55271	235
220	0	22523410	0
221	0	15817379	0
222	1	372353	1700
223	0	15816167	0
224	0	22367956	0
225	0	20669741	0
226	0	22327673	0
227	1	132619	564
228	0	19807998	0
229	0	20389884	0
230	0	19461830	0
231	1	42582	155
232	0	19802304	0
233	0	20735836	0
234	0	19902933	0
235	0	19363155	0
236	0	15729793	0
237	0	18201939	0
238	0	19403964	0
239	1	137449	609
240	0	22715810	0
241	0	19911266	0
242	0	20294239	0
243	1	347174	1576
244	1	214358	977
245	1	593376	2725
246	0	19113075	0
247	0	18852152	0
248	0	20865048	0
249	0	19954766	0
250	1	337604	1538
251	0	19855976	0
252	0	18847309	0
253	0	15315839	0
254	0	18711105	0
255	0	15296634	0
256	0	19399692	0
257	0	21005308	0
258	0	20393049	0
259	1	546823	2518
260	0	22228376	0
261	0	22153126	0
262	0	21231967	0
263	0	21058999	0
264	0	15307672	0
265	0	15788148	0
266	0	19509289	0
267	0	20897432	0
268	0	20284366	0
269	0	21944895	0
270	0	20036395	0
271	0	20038844	0
272	1	1112826	5121
273	0	20443546	0
274	1	714918	3283
275	1	273184	1252
276	0	20022235	0
277	1	169372	752
278	0	20633173	0
279	1	50873	212
280	0	19338144	0
281	1	146702	655
282	0	19510018	0
283	1	99972	416
284	1	351610	1591
285	0	15766233	0
286	1	383822	1730
287	1	593734	3110
288	1	289962	1325
289	0	19832786	0
290	0	18887927	0
291	0	17436726	0
292	0	15644763	0
293	0	19325988	0
294	1	137700	613
295	1	136471	612
296	0	20048400	0
297	0	20511521	0
298	1	71381	291
299	0	19742213	0
300	0	18899354	0
301	1	461296	2106
302	1	70305	307
303	0	20706788	0
304	1	124934	550
305	1	158785	718
306	1	412940	1879
307	1	298434	1355
308	0	20645879	0
309	0	18785998	0
310	0	19701012	0
311	0	22622682	0
312	0	22740552	0
313	0	22496897	0
314	0	20403088	0
315	0	21445360	0
316	0	21710839	0
317	1	165160	733
318	0	20705968	0
319	0	21826124	0
320	1	419343	1894
321	0	21395083	0
322	0	20446348	0
323	0	15366004	0
324	0	22407084	0
325	1	343581	1542
326	1	187108	851
327	1	322272	1470
328	0	15743479	0
329	0	15589345	0
330	1	352468	1591
331	0	19500956	0
332	1	81091	369
333	1	166167	735
334	1	36392	155
335	0	21205149	0
336	1	479780	2185
337	0	17203628	0
338	0	20620249	0
339	0	22557033	0
340	1	249568	1285
341	0	15807336	0
342	1	91169	374
343	1	709587	3257
344	0	15657084	0
345	0	20180039	0
346	1	274333	1224
347	1	550243	2514
348	0	19626315	0
349	0	21370242	0
350	1	660327	3028
351	1	200248	905
352	1	39668	171
353	1	384895	1741
354	1	150921	654
355	1	489495	2246
356	1	58169	255
357	1	134783	606
358	1	94905	420
359	1	85231	381
360	1	88607	444
361	0	20182351	0
362	0	20140645	0
363	0	15443465	0
364	0	20307215	0
365	0	15538298	0
366	1	113759	500
367	0	19601033	0
368	0	15669841	0
369	0	20854009	0
370	0	19658626	0
371	0	18823055	0
372	1	122191	505
373	0	19776614	0
374	1	353984	1568
375	0	19838051	0
376	1	24721	90
377	0	21645810	0
378	0	19169271	0
379	1	77980	328
380	1	1067144	4913
381	0	23004955	0
382	0	21895545	0
383	1	295062	1325
384	1	500090	2288
385	0	19459907	0
386	0	15753878	0
387	0	19139442	0
388	0	15665453	0
389	1	172348	745
390	0	18870740	0
391	0	22514934	0
392	0	21690150	0
393	0	15526726	0
394	1	202015	902
395	0	18990099	0
396	0	20919648	0
397	0	22833677	0
398	0	22336638	0
399	1	50755	207
400	0	20075735	0
401	0	21750942	0
402	0	21457351	0
403	1	441500	2002
404	0	19994653	0
405	1	320378	1461
406	0	18610909	0
407	0	15705034	0
408	0	20339062	0
409	1	142413	616
410	1	408463	1863
411	0	22839899	0
412	1	87755	354
413	0	20723876	0
414	1	128995	550
415	0	18661437	0
416	0	19848917	0
417	0	21680946	0
418	1	126749	530
419	0	15605715	0
420	0	19097209	0
421	1	105442	459
422	0	20863976	0
423	0	20961785	0
424	0	19967735	0
425	0	19945466	0
426	0	21983547	0
427	0	15203071	0
428	0	15493194	0
429	0	20060526	0
430	0	22866316	0
431	0	20315398	0
432	0	20255057	0
433	1	383193	1971
434	0	15828349	0
435	0	19490230	0
436	0	22307338	0
437	0	15580038	0
438	1	208865	943
439	0	19750744	0
440	0	19752485	0
441	0	17691786	0
442	0	21821058	0
443	0	20349179	0
444	0	20125766	0
445	0	15764115	0
446	1	19271	50
447	0	18852829	0
448	0	19110597	0
449	1	701395	3234
450	0	19225541	0
451	0	15461196	0
452	0	19534432	0
453	0	19646509	0
454	1	80938	350
455	1	36765	155
456	0	19350652	0
457	0	20276256	0
458	0	22593281	0
459	0	21942738	0
460	0	20844065	0
461	0	23072041	0
462	1	162302	727
463	0	21817246	0
464	1	80106	376
465	0	19727524	0
466	0	19279867	0
467	1	141435	703
468	0	21352145	0
469	1	198577	883
470	1	93168	418
471	1	170378	773
472	0	21155524	0
473	0	15637173	0
474	0	18785449	0
475	0	19046715	0
476	0	20748658	0
477	0	19915304	0
478	0	21852128	0
479	1	425137	2184
480	0	20690659	0
481	0	19416316	0
482	1	64491	286
483	0	20097137	0
484	0	19911128	0
485	0	21258345	0
486	1	90971	372
487	1	141859	642
488	0	19519829	0
489	1	45528	190
490	1	153434	695
491	0	20375656	0
492	0	19165318	0
493	0	21134400	0
494	0	19969209	0
495	0	19936950	0
496	0	20772220	0
497	0	19896989	0
498	0	22121669	0
499	0	17280066	0
500	0	15229034	0
501	0	15543945	0
502	0	18674000	0
503	1	241687	1078
504	0	20222497	0
505	0	15490458	0
506	1	114770	556
507	1	373489	1707
508	0	18822657	0
509	0	19867348	0
510	0	21537226	0
511	1	29028	73
512	0	18247649	0
513	0	20105119	0
514	0	18801482	0
515	0	20158681	0
516	0	20875515	0
517	1	180616	809
518	0	19692761	0
519	0	19653860	0
520	0	19479590	0
521	1	15891	38
522	0	19689099	0
523	0	19058616	0
524	0	15328592	0
525	1	93386	408
526	0	19100067	0
527	1	50395	194
528	0	19486664	0
529	0	20305895	0
530	0	22006873	0
531	0	20453464	0
532	0	18282436	0
533	0	19670950	0
534	0	21077683	0
535	0	19468073	0
536	0	20921594	0
537	0	22406081	0
538	1	441875	1990
539	0	15700014	0
540	0	19458480	0
541	1	436936	1989
542	0	22464630	0
543	0	15484807	0
544	0	15798057	0
545	1	105096	452
546	0	19428022	0
547	0	15612359	0
548	0	15717846	0
549	1	347137	1580
550	1	69491	304
551	0	19578086	0
552	0	15316689	0
553	0	20124046	0
554	0	20463526	0
555	0	19803227	0
556	0	19199479	0
557	1	14429	41
558	0	19530371	0
559	0	19348501	0
560	0	19718139	0
561	1	75411	288
562	1	120408	536
563	0	18560864	0
564	0	19477640	0
565	0	15641585	0
566	1	20551	77
567	0	19639029	0
568	1	15544	44
569	1	281112	1289
570	0	19003171	0
571	0	18492241	0
572	0	18760468	0
573	0	20031183	0
574	0	21113646	0
575	1	560735	2553
576	0	19778558	0
577	0	20640498	0
578	1	297635	1329
579	0	18806926	0
580	0	19142120	0
581	1	321182	1436
582	0	20339888	0
583	1	864218	3971
584	0	22099200	0
585	0	21445379	0
586	1	373225	1678
587	0	20227075	0
588	1	448630	2038
589	1	124820	552
590	1	457006	2097
591	0	19733214	0
592	1	390366	1780
593	0	19025120	0
594	0	20057856	0
595	0	19488769	0
596	1	220382	995
597	0	21405620	0
598	0	20405080	0
599	0	20149254	0
600	0	20798802	0
601	0	20418603	0
602	0	22240597	0
603	1	65572	248
604	0	21487356	0
605	1	152918	668
606	1	283632	1462
607	1	212863	978
608	1	164337	747
609	1	232441	1190
610	1	275167	1261
611	1	54666	220
612	0	15920854	0
613	0	21118512	0
614	1	37428	151
615	0	21589732	0
616	0	21948672	0
617	0	21550428	0
618	0	19339147	0
619	1	767156	3526
620	0	19348906	0
621	0	19856952	0
622	0	19605975	0
623	0	15483033	0
624	0	21320951	0
625	0	15656899	0
626	1	443232	2021
627	1	223177	1014
628	0	19738357	0
629	0	19419346	0
630	0	20019060	0
631	0	21797323	0
632	1	913189	4163
633	1	315798	1443
634	1	189361	829
635	1	71663	288
636	1	274660	1243
637	0	21191355	0
638	0	20459987	0
639	1	449906	2045
640	0	19756678	0
641	0	19857152	0
642	1	102605	487
643	0	19760590	0
644	0	22823510	0
645	0	20669412	0
646	0	20275721	0
647	0	20389319	0
648	0	21227981	0
649	0	19803012	0
650	0	22866664	0
651	1	740492	3444
652	0	15924703	0
653	0	20678726	0
654	0	21963490	0
655	0	20732621	0
656	0	19356379	0
657	1	786931	3610
658	0	19419691	0
659	0	17053040	0
660	0	15414540	0
661	1	525562	2414
662	1	403429	1852
663	0	22297977	0
664	0	18936928	0
665	0	20926053	0
666	0	19415388	0
667	0	19647769	0
668	1	175175	777
669	1	105987	475
670	0	20371491	0
671	1	32504	108
672	1	13220	48
673	0	21504806	0
674	0	18076893	0
675	0	20761780	0
676	0	15652196	0
677	0	19261218	0
678	1	117484	526
679	0	18909950	0
680	0	19405161	0
681	0	19180921	0
682	1	95751	415
683	0	19562216	0
684	0	20963729	0
685	0	19381289	0
686	0	15676454	0
687	0	19974695	0
688	0	20240268	0
689	0	21661930	0
690	0	20802091	0
691	0	20460788	0
692	1	391615	1781
693	0	20173054	0
694	0	20121859	0
695	0	19653107	0
696	1	256236	1154
697	0	19480936	0
698	1	75587	310
699	0	19488642	0
700	0	20207789	0
701	0	18866449	0
702	0	18633148	0
703	1	44063	171
704	1	247379	1050
705	0	15419022	0
706	0	19382087	0
707	0	18791872	0
708	0	19774725	0
709	0	15864657	0
710	0	18705875	0
711	0	19199850	0
712	0	19244210	0
713	0	19420880	0
714	0	19240303	0
715	1	385301	1764
716	0	18665082	0
717	1	101923	433
718	0	15684103	0
719	0	19849582	0
720	0	19152787	0
721	1	167555	755
722	1	55003	238
723	1	143374	649
724	0	20316842	0
725	0	19897391	0
726	0	19634478	0
727	1	385287	1754
728	0	19071045	0
729	1	363293	1647
730	0	19539615	0
731	0	15693647	0
732	1	263232	1200
733	0	20068740	0
734	1	395939	1792
735	0	21331864	0
736	1	28367	111
737	0	20684668	0
738	0	20421710	0
739	1	260133	1127
740	1	74621	331
741	0	19967871	0
742	0	22732304	0
743	1	1064994	4890
744	1	274754	1253
745	1	135971	614
746	1	18533	60
747	1	600836	2766
748	0	21201581	0
749	0	20772762	0
750	1	96501	413
751	1	261535	1190
752	1	191663	867
753	0	19161448	0
754	0	15763369	0
755	1	323221	1454
756	0	18920677	0
757	0	15501637	0
758	1	352734	1589
759	1	602891	2754
760	0	19083167	0
761	0	21733137	0
762	0	20766246	0
763	0	19555725	0
764	0	19243282	0
765	0	19823799	0
766	0	20468824	0
767	1	118289	495
768	0	19529488	0
769	1	328575	1497
770	0	18983261	0
771	1	144702	716
772	1	297585	1360
773	0	15972812	0
774	0	22177371	0
775	0	15523070	0
776	1	266310	1204
777	0	19802667	0
778	0	19317707	0
779	0	19723201	0
780	1	310913	1415
781	0	19589163	0
782	1	239626	1087
783	1	96232	431
784	1	267050	1210
785	0	19595670	0
786	0	15845561	0
787	0	20942340	0
788	0	21339582	0
789	0	15554977	0
790	1	160764	801
791	1	88207	394
792	0	18693129	0
793	1	317027	1427
794	1	166729	762
795	1	236850	1079
796	0	18786078	0
797	0	19064149	0
798	0	18760017	0
799	0	18646211	0
800	1	409699	1845
801	0	18703439	0
802	0	19207331	0
803	1	60947	229
804	1	20992	80
805	1	117557	522
806	1	159244	722
807	0	19536856	0
808	0	19042420	0
809	0	20655940	0
810	1	337429	1538
811	0	19326428	0
812	1	71142	297
813	0	15486238	0
814	0	21429888	0
815	0	20945613	0
816	0	21219768	0
817	1	130115	570
818	1	306442	1378
819	0	20857837	0
820	0	19703012	0
821	1	520627	2374
822	0	19667120	0
823	0	19082238	0
824	0	19726422	0
825	0	20044017	0
826	0	20520166	0
827	0	21158622	0
828	0	19839329	0
829	0	20618343	0
830	0	20801250	0
831	0	21418125	0
832	0	20242356	0
833	0	20063481	0
834	0	19136566	0
835	0	19964059	0
836	1	212784	930
837	0	16086611	0
838	1	118461	589
839	0	22291983	0
840	1	269909	1223
841	0	20272462	0
842	0	16288858	0
843	0	20344332	0
844	0	19745102	0
845	1	88454	432
846	0	15722944	0
847	1	169437	751
848	0	18905733	0
849	1	156482	676
850	0	18685399	0
851	1	181958	745
852	0	20053426	0
853	1	212123	1064
854	0	19165610	0
855	1	128782	568
856	1	158540	717
857	0	19176913	0
858	0	19948752	0
859	1	423463	1932
860	0	19205685	0
861	1	200735	895
862	0	20320952	0
863	0	18238800	0
864	0	15423668	0
865	0	19340870	0
866	0	19429106	0
867	1	406095	1861
868	0	15474333	0
869	1	159993	697
870	1	704296	3229
871	0	15233423	0
872	0	19191083	0
873	0	19258821	0
874	1	801242	3703
875	1	293157	1340
876	1	484809	2206
877	0	18562130	0
878	1	514817	2377
879	1	245839	1120
880	0	21151066	0
881	0	20962865	0
882	0	20017430	0
883	0	19687743	0
884	0	20251427	0
885	0	20201379	0
886	0	19929927	0
887	1	30340	87
888	0	15721915	0
889	0	21120476	0
890	0	20714748	0
891	1	348059	1574
892	0	21374112	0
893	0	20954038	0
894	0	19195332	0
895	0	20666631	0
896	0	15674299	0
897	1	367867	1668
898	0	22574493	0
899	0	20353917	0
900	0	19217913	0
901	0	22236265	0
902	0	15749565	0
903	0	20966676	0
904	0	17995183	0
905	1	754137	3473
906	0	19512192	0
907	1	244265	1099
908	0	19399000	0
909	0	18868779	0
910	0	18965520	0
911	0	18765741	0
912	0	15429811	0
913	0	22600893	0
914	0	19368720	0
915	0	21376847	0
916	1	213023	1081
917	0	19657336	0
918	0	21429715	0
919	1	43248	169
920	0	20715942	0
921	0	19645321	0
922	0	19516529	0
923	0	23069463	0
924	0	19561211	0
925	0	22274882	0
926	0	20613044	0
927	0	20434038	0
928	0	20318964	0
929	0	15503523	0
930	0	22374414	0
931	0	22267509	0
932	0	22220145	0
933	0	15420492	0
934	0	19340401	0
935	0	15467752	0
936	0	20827301	0
937	0	20142026	0
938	0	23140508	0
939	1	385640	1985
940	1	163698	714
941	0	19273259	0
942	0	19221779	0
943	0	22367677	0
944	1	229315	1026
945	1	19244	76
946	1	38052	153
947	0	20977656	0
948	1	277333	1218
949	0	20388894	0
950	1	580353	2658
951	0	21930178	0
952	1	1097378	5064
953	0	20363183	0
954	1	325432	1479
955	1	625351	2850
956	0	19349983	0
957	0	21637834	0
958	0	22018159	0
959	0	20648231	0
960	1	621698	2820
961	0	21959665	0
962	0	20308899	0
963	1	386622	1720
964	1	227959	1035
965	0	23139544	0
966	1	330744	1503
967	1	379056	1736
968	0	20587266	0
969	0	20866670	0
970	0	22310318	0
971	0	19075328	0
972	0	21233163	0
973	0	20066454	0
974	0	18989158	0
975	0	21139809	0
976	0	20688497	0
977	1	368003	1662
978	0	20671308	0
979	0	22244902	0
980	0	19751516	0
981	0	16568745	0
982	0	20206297	0
983	1	348544	1560
984	0	19389513	0
985	0	18528619	0
986	1	736625	3380
987	0	15658730	0
988	0	20426226	0
989	0	21559182	0
990	0	16100701	0
991	0	21479888	0
992	0	20040009	0
993	0	20311666	0
994	0	20145395	0
995	1	242131	1087
996	0	22600396	0
997	0	21308158	0
998	0	15972748	0
999	1	155258	774
1000	0	21078583	0
1001	1	367905	1664
1002	0	20216873	0
1003	1	306939	1398
1004	0	20386289	0
1005	0	19528964	0
1006	1	59634	235
1007	1	104366	454
1008	0	19819720	0
1009	0	21764048	0
1010	0	20442003	0
1011	0	20363992	0
1012	0	22009166	0
1013	0	21162241	0
1014	0	21802848	0
1015	1	216075	1103
1016	1	300606	1375
1017	1	421627	1914
1018	0	21832873	0
1019	0	20405665	0
1020	0	22300155	0
1021	0	21707703	0
1022	0	20824369	0
1023	0	22601909	0
1024	0	19346675	0
1025	0	22349956	0
1026	0	19003840	0
1027	0	19258626	0
1028	1	279992	1223
1029	1	233574	1067
1030	1	353852	1616
1031	0	20611826	0
1032	0	19388953	0
1033	0	15576908	0
1034	1	228500	1030
1035	0	20103513	0
1036	0	19559915	0
1037	0	18700490	0
1038	1	419311	1893
1039	0	19618830	0
1040	0	22740945	0
1041	0	21206043	0
1042	0	15593752	0
1043	1	111311	545
1044	1	157244	701
1045	0	18679678	0
1046	0	19283798	0
1047	0	19351924	0
1048	0	19982884	0
1049	0	20066338	0
1050	1	548807	2491
1051	0	19701203	0
1052	0	20214454	0
1053	1	154866	657
1054	0	21313984	0
1055	0	15238304	0
1056	0	20244978	0
1057	1	9918	8
1058	1	206507	906
1059	0	20406646	0
1060	0	19399064	0
1061	0	19786756	0
1062	0	19198351	0
1063	0	19515485	0
1064	0	19139489	0
1065	0	19469047	0
1066	0	17859082	0
1067	0	20327986	0
1068	1	655777	3005
1069	0	19606713	0
1070	0	20360411	0
1071	0	20907132	0
1072	0	20089108	0
1073	0	19889068	0
1074	0	19716543	0
1075	0	21745712	0
1076	0	15630280	0
1077	0	22384557	0
1078	1	81770	358
1079	1	30844	127
1080	0	22094079	0
1081	0	15729480	0
1082	1	194738	850
1083	0	19728839	0
1084	1	61066	235
1085	0	20373081	0
1086	0	17966558	0
1087	0	20028478	0
1088	0	19595715	0
1089	1	364158	1879
1090	0	18243554	0
1091	0	19640496	0
1092	0	19746431	0
1093	0	20723887	0
1094	1	428120	1952
1095	1	526742	2398
1096	1	431203	1978
1097	0	20511530	0
1098	0	19681423	0
1099	0	18575936	0
1100	0	20805526	0
1101	0	20575809	0
1102	1	467130	2131
1103	0	20302025	0
1104	0	19554340	0
1105	0	15834567	0
1106	0	15627733	0
1107	0	20621413	0
1108	0	19326232	0
1109	0	18681145	0
1110	0	21865710	0
1111	0	20137555	0
1112	1	427384	1917
1113	0	15245605	0
1114	1	360746	1617
1115	0	19492377	0
1116	1	281380	1261
1117	1	403931	1849
1118	0	22664719	0
1119	0	20229143	0
1120	1	67130	285
1121	0	19653788	0
1122	0	19686197	0
1123	1	236776	1068
1124	0	20348834	0
1125	0	19984312	0
1126	0	19492207	0
1127	0	19036486	0
1128	0	15629125	0
1129	0	18778934	0
1130	0	19025819	0
1131	0	19306103	0
1132	0	19597704	0
1133	0	19072427	0
1134	0	19124000	0
1135	0	22086225	0
1136	1	86099	368
1137	1	172226	767
1138	0	19757756	0
1139	1	640893	2902
1140	0	20837060	0
1141	0	21843694	0
1142	1	292860	1490
1143	0	23267719	0
1144	0	15589455	0
1145	1	60788	243
1146	0	21889841	0
1147	0	21483565	0
1148	0	15689609	0
1149	0	20657807	0
1150	0	19967791	0
1151	0	20906239	0
1152	1	308168	1386
1153	0	21227017	0
1154	0	21953291	0
1155	0	16047887	0
1156	0	21498413	0
1157	1	563709	2587
1158	1	186673	851
1159	0	21874954	0
1160	0	21375195	0
1161	0	15623384	0
1162	0	20384457	0
1163	1	153930	661
1164	0	20803491	0
1165	0	15560144	0
1166	0	20168061	0
1167	0	18255532	0
1168	0	21019565	0
1169	1	671796	3095
1170	0	20115992	0
1171	1	402962	1841
1172	0	17914756	0
1173	0	15647393	0
1174	1	74530	326
1175	0	15321344	0
1176	0	19616304	0
1177	0	19825832	0
1178	0	21637080	0
1179	1	526171	2406
1180	0	19631172	0
1181	0	19437018	0
1182	0	18922814	0
1183	0	15273585	0
1184	0	20222234	0
1185	1	478201	2179
1186	1	40648	170
1187	0	18803407	0
1188	0	21397325	0
1189	0	22400136	0
1190	0	15572249	0
1191	0	19988295	0
1192	0	20341705	0
1193	1	288125	1303
1194	1	244551	1110
1195	0	19943866	0
1196	0	20118556	0
1197	1	309905	1374
1198	0	22083614	0
1199	0	19825962	0
