# N  = 590221
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 117.283
#
# run	success	duration[mus]	usedSteps
0	1	27737966	34523887
1	1	26640626	34503624
2	1	28925725	34506741
3	1	27385733	34524964
4	1	24555086	34563351
5	1	27885271	34500916
6	1	27677380	34503241
7	1	25932948	34531874
8	1	29458085	34539993
9	1	27550211	34507994
10	1	28000837	34505017
11	1	28117885	34502206
12	1	26499881	34507755
13	1	28016427	34528303
14	1	21717443	34506829
15	1	31480788	34529573
16	1	26347912	34531066
17	1	30573729	34610980
18	1	28237721	34507395
19	1	29385013	34534564
