# N  = 2191531
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 155.083
#
# run	success	duration[mus]	usedSteps
0	1	48545150	54549051
1	1	46577825	54504391
2	1	37518681	54515507
3	0	144318548	0
4	1	37667891	54526485
5	1	50252284	54856834
6	1	37486274	54500369
7	1	44439598	54640300
8	1	46104700	54610891
9	0	154182911	0
10	1	37765555	54860647
11	1	37655027	54770414
12	1	48703910	54767656
13	1	37348437	54649798
14	1	51888763	54629043
15	1	37710248	54716403
16	1	39343048	54835644
17	1	37877525	54863996
18	0	158311110	0
19	0	153481714	0
