# N  = 131753
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 86.1847
#
# run	success	duration[mus]	usedSteps
0	1	35468712	50500765
1	1	35889051	50510538
2	1	37814792	50507958
3	1	35724420	50506801
4	1	38269829	50509158
5	1	34102692	50513996
6	1	38859312	50500195
7	1	30172781	50501626
8	1	34545513	50507701
9	1	37966270	50500500
10	1	35287876	50510756
11	1	35295249	50500752
12	1	34769887	50505643
13	1	34565804	50502540
14	1	35596950	50501826
15	1	30390301	50523718
16	1	33726539	50509078
17	1	34688919	50500029
18	1	30293324	50505216
19	1	33738509	50513862
