# N  = 2773
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 26.5624
#
# run	success	duration[mus]	usedSteps
0	1	11527091	28000002
1	1	11589575	28000209
2	1	11379108	28000011
3	1	11541352	28000020
4	1	11501354	28000000
5	1	11659438	28000062
6	1	11588623	28000141
7	1	11539358	28000031
8	1	11521313	28000310
9	1	11564712	28000145
10	1	11588744	28000000
11	1	11714516	28000224
12	1	11544891	28000025
13	1	11528343	28000282
14	1	11537358	28000000
15	1	11667992	28000002
16	1	11477683	28000108
17	1	11659205	28000017
18	1	11589817	28000117
19	1	11605942	28000056
