# N  = 200633
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 86.1847
#
# run	success	duration[mus]	usedSteps
0	1	12976342	23008984
1	1	16832234	23010423
2	1	17290575	23009777
3	1	18089844	23009927
4	1	18273882	23004075
5	1	17843799	23027087
6	1	20123184	23010511
7	1	18515623	23001558
8	1	16818260	23027353
9	1	17989297	23003946
10	1	16560188	23000034
11	1	14581784	23013326
12	1	16597610	23003991
13	1	14644023	23003540
14	1	15977152	23041964
15	1	16204193	23024141
16	1	17337489	23028429
17	1	13023490	23015957
18	1	18512975	23038869
19	1	15669174	23021138
