# N  = 901
# Nc = 1000
# Na = 500
# Fc = 0.997
# kB = 15.7331
#
# run	success	duration[mus]	usedSteps
0	1	3329038	9500258
1	1	3312216	9500067
2	1	3329414	9500060
3	1	3372072	9500107
4	1	3357432	9500411
5	1	3353521	9500023
6	1	3323640	9500167
7	1	3257579	9500028
8	1	3332108	9500114
9	1	3246921	9500440
10	1	3269450	9500962
11	1	3344693	9500392
12	1	3343783	9500144
13	1	3309950	9500327
14	1	3321241	9500027
15	1	3336348	9500516
16	1	3332330	9500011
17	1	3341807	9500395
18	1	3372610	9500063
19	1	3314270	9500285
