# N  = 195
# Nc = 1000
# Na = 1000
# Fc = 0.997
# kB = 15
#
# run	success	duration[mus]	usedSteps
0 1 4129795 14000062
1 1 4048772 14000124
2 1 4105138 14000217
3 1 4142494 14000136
4 1 4164653 14000086
5 1 4130966 14000149
6 1 4078631 14000187
7 1 4120900 14000198
8 1 4022124 14000127
9 1 3986821 14000173
10 1 4128775 14000007
11 1 4116555 14000207
12 1 4139757 14000036
13 1 4029220 14000197
14 1 4087973 14000290
15 1 4085971 14000355
16 1 4128272 14000280
17 1 4023704 14000148
18 1 4112325 14000131
19 1 4037278 14000158
