# N  = 475
# Nc = 1000
# Na = 1000
# Fc = 0.997
# kB = 15
#
# run	success	duration[mus]	usedSteps
0 1 9945654 32000068
1 1 9957982 32000481
2 1 9867097 32000527
3 1 10000324 32000111
4 1 10069687 32000262
5 1 9893762 32000198
6 1 9948734 32000116
7 1 9983765 32000182
8 1 9945017 32000067
9 1 9835262 32000050
10 1 9868852 32000033
11 1 9913868 32000001
12 1 9879307 32000482
13 1 10006878 32000138
14 1 10054910 32000005
15 1 9969116 32000204
16 1 10030226 32000092
17 1 10138432 32000180
18 1 9930961 32000420
19 1 9992841 32000128
