# N  = 6429
# Nc = 1000
# Na = 1000
# Fc = 0.997
# kB = 15
#
# run	success	duration[mus]	usedSteps
0 1 4743043 13000189
1 1 4780580 13002129
2 1 4697778 13004885
3 1 6086122 13000850
4 1 4672437 13002100
5 1 4748780 13003725
6 1 4789422 13006345
7 1 4730810 13000789
8 1 6216814 13000872
9 1 4854614 13003332
10 1 4720075 13002040
11 1 4767771 13001021
12 1 6385978 13007008
13 1 5963708 13005825
14 1 4586225 13004969
15 1 4667265 13000178
16 1 4799166 13003950
17 1 4789791 13000297
18 1 4805564 13022340
19 1 5072914 13005498
