# N  = 370
# Nc = 1000
# Na = 1000
# Fc = 0.997
# kB = 15
#
# run	success	duration[mus]	usedSteps
0 1 6468026 21000061
1 1 6519687 21000093
2 1 6498972 21000907
3 1 6459838 21000179
4 1 6527482 21000238
5 1 6361345 21000367
6 1 6530280 21000475
7 1 6475383 21000717
8 1 6475174 21000558
9 1 6557376 21000606
10 1 6521130 21001202
11 1 6504281 21000194
12 1 6443866 21000601
13 1 6397089 21000671
14 1 6651480 21001008
15 1 6473305 21001658
16 1 6410341 21000086
17 1 6596501 21000137
18 1 6469378 21000330
19 1 6428980 21000575
